sample_id	age_group	cell_type_subset	expression	group	marker
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.8545619	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.5704315	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.63512	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.032004	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.297829	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5148231	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.3291097	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0611737	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.7916206	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.1906983	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.3487706	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.850784	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.229387	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.1349573	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.5282953	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.641556	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.6647761	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7675909	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	3.125127	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.95966613	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.5967594	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0000975	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.2942934	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.513164	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7182144	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.1244651	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.9388294	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2699246	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.4954638	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.2650754	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0410478	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.4626076	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.9154516	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.5016708	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2192125	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.379798	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.9125514	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.429744	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.4041307	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.4531674	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.2281411	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.6439099	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.539665	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7242467	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.0337002	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	2.295952	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.3878424	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.0664263	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.5290537	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.1849927	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.2255855	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.624159	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.4456584	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.9616745	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0556595	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.6225934	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.7544235	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.9545308	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.9540108	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2146573	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.9454818	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2254488	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.0151632	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5380791	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2434309	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	3.1025991	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.4636505	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5376487	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.3160696	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.1573493	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.448642	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.7414976	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5221552	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.6807672	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.2098379	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.9443307	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.9457388	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.0248034	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.117131	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.414939	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.5900435	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.079914	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.327902	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.1239041	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.9956902	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7066735	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.8230579	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.065072	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.13593	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.7512858	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.291212	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.0999658	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.2360764	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.8905934	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.3148127	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.8468707	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.1353873	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.654686	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.6110399	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.3899807	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.350486	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.7657808	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.8541832	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.3404793	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.0963508	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.421405	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.4681345	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5748361	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.1570113	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.3666706	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.420237	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.3888535	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.2058036	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.3567384	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.6024003	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.4067374	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.4048783	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.4441524	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2923443	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0930166	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	3.0642588	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.9781781	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.142607	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.4723203	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.8532079	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.0964835	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.5283927	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.7573946	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.5832353	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.4551558	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.187752	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.9702251	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.628919	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.0884498	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.8028873	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.9292958	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.3644845	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.0627427	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.7015238	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.3448691	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.395096	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	3.4349554	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.8495414	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.1803377	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.9772393	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.4343536	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.8684044	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.6369243	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.7942638	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.4429522	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.6665152	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.9089535	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0151632	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.0238054	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.6030755	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.981559	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.9319832	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.6096623	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7372414	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.0684794	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.828519	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.5279686	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.0892446	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.7991588	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.817926	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.6156838	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.9019253	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.0159966	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.0385616	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.3647137	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.1284606	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.2072024	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.3954744	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.2078601	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.734162	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.0215374	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.1287868	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.004901	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.7477849	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.5451502	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.3138173	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.0043396	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	3.3515942	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.4275053	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.9975234	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.9842411	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.269082	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.4114594	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.6401412	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.4860011	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.2894769	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.1298262	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5511755	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.1921343	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.6020392	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.0477281	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.1151483	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.056254	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.9110774	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.3756644	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	2.297668	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.7558085	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.65252644	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.443192	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7022572	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.0662265	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7714949	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.3491278	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5396599	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.292411	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	2.4250364	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.2779408	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.1057293	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.4623349	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.636706	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.5832413	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.6679097	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.5425436	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.9200572	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.772321	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.7022572	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.4316807	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.3542151	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.9336679	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2304099	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.3257964	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.7126061	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.1209972	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.2653077	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.679706	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5185715	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7508746	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.4454105	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.74337554	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.2498243	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.4273317	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.3788779	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.8081968	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.6078398	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.9942267	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7025018	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5157927	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.8213915	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.6327198	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.4142317	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	1.1872042	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	1.9132894	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.7007912	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.5662873	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.916002	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.9267015	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.6786962	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.5370753	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.327097	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.4953967	capsFB	Dpp4
mo18_CD45neg2_d0	18mo	3:capsFB	2.1660774	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.2024583	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.152773	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	2.4765697	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.792595	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.2963812	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.3594785	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.9224532	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.4909147	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.1312463	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	2.6362019	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.670896	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.2036812	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.2690706	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	1.3204191	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	0.0	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.0543844	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	0.9216946	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.6866597	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	3.0046492	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.640717	capsFB	Dpp4
mo02_CD45neg1_d0	02mo	3:capsFB	1.80183	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	2.213024	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	1.9104642	capsFB	Dpp4
mo02_CD45neg2_d0	02mo	3:capsFB	1.5555347	capsFB	Dpp4
mo18_FB_d0	18mo	3:capsFB	0.0	capsFB	Dpp4
mo02_FB_d0	02mo	3:capsFB	2.5678155	capsFB	Dpp4
mo18_CD45neg1_d0	18mo	3:capsFB	2.2906132	capsFB	Dpp4
