group	gene	subset	n_samples_02mo	n_samples_18mo	mean_log2_cpm_02mo	mean_log2_cpm_18mo	delta_log2_cpm_18mo_minus_02mo	mean_detection_02mo	mean_detection_18mo	delta_detection_18mo_minus_02mo	mean_n_cells_02mo	mean_n_cells_18mo
capsFB	Lox	annotated_all	3	3	6.457998912448918	4.964044160192253	-1.4939547522566654	0.34263920923711083	0.11990512835021407	-0.22273408088689678	866.0	422.6666666666667
capsFB	Lox	strict_marker_positive	3	3	6.594547402060955	4.6204204527041535	-1.9741269493568012	0.37787489733913454	0.12047568585894265	-0.2573992114801919	569.6666666666666	199.66666666666666
mTEC1	Loxl2	annotated_all	2	2	3.4637753815681718	0.9428262550321075	-2.520949126536064	0.08992831541218638	0.006311255638689107	-0.08361705977349727	289.5	526.5
mTEC1	Loxl2	strict_marker_positive	2	2	3.567782061869028	0.9112351231091896	-2.6565469387598384	0.09663813229571985	0.00593906093906094	-0.09069907135665892	253.5	501.5
medFB	Loxl1	annotated_all	3	3	5.6922170951279085	6.512729080308977	0.820511985181068	0.17078378465915744	0.21850094213480617	0.047717157475648725	613.6666666666666	960.3333333333334
medFB	Loxl1	strict_marker_positive	3	3	5.646915546890433	6.68244741734831	1.035531870457877	0.17274452762539128	0.2429114053998563	0.07016687777446504	491.3333333333333	581.6666666666666
medFB	Loxl2	annotated_all	3	3	5.481675623948647	4.574506920024001	-0.9071687039246452	0.19868177480797164	0.07000782770158163	-0.12867394710639002	613.6666666666666	960.3333333333334
medFB	Loxl2	strict_marker_positive	3	3	5.5535363537722295	4.595673610047213	-0.9578627437250162	0.21740259095310865	0.07613811350337374	-0.14126447744973492	491.3333333333333	581.6666666666666
