field_name	dtype	non_null_count	unique_count	examples	candidate_role
park_2020_cell_type	category	2147	7	epithelial cell of thymus; medullary thymic epithelial cell; cortical thymic epithelial cell; double negative thymocyte; fibroblast; CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell; dendritic cell	cell_type
panfetal_2022_cell_type	category	112	5	MUSCLE_SATELLITE; KERATINOCYTE; ENTEROENDOCRINE_I; NEURON; LOW_QUALITY	cell_type
cell_type_level_3	category	25726	12	TEC-myo; mTECIII; mTECII; mTECI; cTECIII; cTECII; cTECI; mcTEC; mTECI-trans; TEC-neuro; TEC-cilliated; see_lv4_explore	cell_type
cell_type_level_2	category	25726	5	mTEC-mimetic; mTEC; cTEC; mcTEC; see_lv4_explore	cell_type
cell_type_level_1	category	25726	3	TEC-mimetic; TEC; see_lv4_explore	cell_type
cell_type_level_0	category	25726	2	Epithelial; see_lv4_explore	cell_type
cell_type_level_4_explore	category	25726	13	TEC-myo; mTECIII; mTECII; mTECI; cTECIII; cTECII; cTECI; mcTEC; mTECI-trans; TEC-neuro; TEC-cilliated; mcTEC-Prolif	cell_type
n_genes	float32	25726	5220	767.0; 1678.0; 1743.0; 1406.0; 1115.0; 2747.0; 1749.0; 470.0; 656.0; 448.0; 659.0; 1870.0	other
n_counts	float32	25726	12450	1295.0; 3959.0; 3825.0; 3212.0; 2270.0; 6838.0; 4370.0; 937.0; 1648.0; 1125.0; 1051.0; 5859.0	other
pct_counts_mt	float32	25726	22986	1.7760618; 1.8186411; 1.7254902; 1.6811955; 3.3920705; 3.5682948; 5.2402744; 0.0; 0.30339807; 2.9495718; 1.7238437; 1.9959267	other
pct_counts_ribo	float32	25726	25304	31.04247; 31.017933; 26.745098; 32.814445; 12.555066; 23.63264; 31.853546; 26.040554; 28.519417; 26.666666; 13.701237; 43.164364	other
doublet_score	float32	25726	1835	0.18819939; 0.028922345; 0.15286624; 0.20833333; 0.28405797; 0.24094881; 0.07055503; 0.045865417; 0.052785926; 0.049674544; 0.018292682; 0.105882354	other
cell_type	category	25726	9	myo-medullary thymic epithelial cell; medullary thymic epithelial cell type 3; medullary thymic epithelial cell type 2; medullary thymic epithelial cell type 1; cortical thymic epithelial cell; corticomedullary thymic epithelial cell; neuro-medullary thymic epithelial cell; ciliated epithelial cell; unknown	cell_type
assay	category	25726	4	10x 3' v2; 10x 5' v1; 10x 5' v2; 10x 3' v3	assay
disease	category	25726	1	normal	disease
sex	category	25726	3	unknown; male; female	sex
tissue	category	25726	1	thymus	tissue
self_reported_ethnicity	category	25726	1	unknown	other
development_stage	category	25726	13	24th week post-fertilization stage; 20th week post-fertilization stage; 3-month-old stage; newborn stage (0-28 days); 6-month-old stage; 10-month-old stage; 17th week post-fertilization stage; 12th week post-fertilization stage; 15th week post-fertilization stage; 14th week post-fertilization stage; 13th week post-fertilization stage; 18th week post-fertilization stage	age_or_development
observation_joinid	object	25726	25726	=;#)d!=>=4; VsMa7MVOB%; ^nG!!^n|73; *#h0xI^No#; M@RDU*;B34; le`=Uuq3~t; sEp}Ft)VEQ; Peam4Ya!Ts; MW!(*zb^u=; slVK5xu9&a; A(7*V|E%PI; r%Yw>Ls#ac	other
