gene	donor_id	sample	development_stage	sex	cell_type_level_2	n_cells	n_detected	detection_fraction	matrix_used
LOXL2	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTEC-mimetic	17	0	0	X
LOXL2	6m_thymus_donor	GSM4838952	6-month-old stage	female	mcTEC	6	0	0	X
LOXL2	6m_thymus_donor	GSM4838953	6-month-old stage	female	cTEC	2	0	0	X
LOXL2	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC	309	11	0.0355987	X
LOXL2	6m_thymus_donor	GSM4838953	6-month-old stage	female	mTEC-mimetic	295	89	0.301695	X
LOXL2	6m_thymus_donor	GSM4838953	6-month-old stage	female	mcTEC	14	0	0	X
LOXL2	6m_thymus_donor	GSM4838954	6-month-old stage	female	cTEC	4	0	0	X
LOXL2	6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC	237	5	0.021097	X
LOXL2	6m_thymus_donor	GSM4838954	6-month-old stage	female	mTEC-mimetic	1485	36	0.0242424	X
LOXL2	6m_thymus_donor	GSM4838954	6-month-old stage	female	mcTEC	2	0	0	X
LOXL2	F21	FCAImmP7179370	17th week post-fertilization stage	male	cTEC	7	0	0	X
LOXL2	F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC	22	0	0	X
LOXL2	F21	FCAImmP7179370	17th week post-fertilization stage	male	mTEC-mimetic	11	0	0	X
LOXL2	F21	FCAImmP7179370	17th week post-fertilization stage	male	mcTEC	3	0	0	X
LOXL2	F23	FCAImmP7198635	12th week post-fertilization stage	male	cTEC	4	0	0	X
LOXL2	F23	FCAImmP7198635	12th week post-fertilization stage	male	mcTEC	2	0	0	X
LOXL2	F30	FCAImmP7277565	15th week post-fertilization stage	male	cTEC	4	0	0	X
LOXL2	F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC	9	0	0	X
LOXL2	F30	FCAImmP7277565	15th week post-fertilization stage	male	mTEC-mimetic	3	1	0.333333	X
LOXL2	F30	FCAImmP7277565	15th week post-fertilization stage	male	mcTEC	5	1	0.2	X
LOXL2	F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC	9	0	0	X
LOXL2	F38	FCAImmP7528284	14th week post-fertilization stage	male	mTEC-mimetic	2	0	0	X
LOXL2	F38	FCAImmP7528285	14th week post-fertilization stage	male	cTEC	1	0	0	X
LOXL2	F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC	10	0	0	X
LOXL2	F38	FCAImmP7528285	14th week post-fertilization stage	male	mTEC-mimetic	2	1	0.5	X
LOXL2	F45	FCAImmP7579231	13th week post-fertilization stage	female	cTEC	1	0	0	X
LOXL2	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC	4	0	0	X
LOXL2	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTEC-mimetic	3	0	0	X
LOXL2	F45	FCAImmP7579231	13th week post-fertilization stage	female	mcTEC	2	0	0	X
LOXL2	F64	FCAImmP7851890	12th week post-fertilization stage	male	cTEC	2	0	0	X
LOXL2	F64	FCAImmP7851890	12th week post-fertilization stage	male	mTEC	1	0	0	X
LOXL2	F64	FCAImmP7851890	12th week post-fertilization stage	male	mcTEC	5	0	0	X
LOXL2	F64	FCAImmP7851891	12th week post-fertilization stage	male	cTEC	3	0	0	X
LOXL2	F64	FCAImmP7851891	12th week post-fertilization stage	male	mTEC	1	0	0	X
LOXL2	F64	FCAImmP7851891	12th week post-fertilization stage	male	mcTEC	3	0	0	X
LOXL2	F67	FCAImmP7851895	13th week post-fertilization stage	female	cTEC	1	0	0	X
LOXL2	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTEC	4	0	0	X
LOXL2	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTEC-mimetic	1	0	0	X
LOXL2	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	cTEC	87	3	0.0344828	X
LOXL2	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTEC	175	23	0.131429	X
LOXL2	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTEC-mimetic	8	3	0.375	X
LOXL2	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mcTEC	164	10	0.0609756	X
LOXL2	T07	T07_TH_EPCAM_S3	3-month-old stage	male	cTEC	384	2	0.00520833	X
LOXL2	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTEC	1151	18	0.0156386	X
LOXL2	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTEC-mimetic	25	12	0.48	X
LOXL2	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mcTEC	251	12	0.0478088	X
LOXL2	T07	T07_TH_TOT_1_S1	3-month-old stage	male	cTEC	56	1	0.0178571	X
LOXL2	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTEC	46	1	0.0217391	X
LOXL2	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mTEC-mimetic	2	1	0.5	X
LOXL2	T07	T07_TH_TOT_1_S1	3-month-old stage	male	mcTEC	16	2	0.125	X
LOXL2	T07	T07_TH_TOT_2_S2	3-month-old stage	male	cTEC	30	0	0	X
LOXL2	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mTEC	53	1	0.0188679	X
LOXL2	T07	T07_TH_TOT_2_S2	3-month-old stage	male	mcTEC	7	2	0.285714	X
LOXL2	U09	TA9260013	6-month-old stage	female	cTEC	102	0	0	X
LOXL2	U09	TA9260013	6-month-old stage	female	mTEC	115	2	0.0173913	X
LOXL2	U09	TA9260013	6-month-old stage	female	mTEC-mimetic	9	0	0	X
LOXL2	U09	TA9260013	6-month-old stage	female	mcTEC	4	0	0	X
LOXL2	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	cTEC	880	7	0.00795455	X
LOXL2	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTEC	169	3	0.0177515	X
LOXL2	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mTEC-mimetic	57	9	0.157895	X
LOXL2	U40	U40-THY-0-SC-F-1	newborn stage (0-28 days)	female	mcTEC	2160	30	0.0138889	X
LOXL2	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	cTEC	1402	23	0.0164051	X
LOXL2	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTEC	1138	25	0.0219684	X
LOXL2	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mTEC-mimetic	70	22	0.314286	X
LOXL2	U40	U40-THY-0-SC-F-2	newborn stage (0-28 days)	female	mcTEC	393	3	0.00763359	X
LOXL2	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	cTEC	6	0	0	X
LOXL2	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mTEC	5	0	0	X
LOXL2	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mTEC-mimetic	2	1	0.5	X
LOXL2	U40	U48-THY-0-SC-1_5GEX	newborn stage (0-28 days)	female	mcTEC	1	0	0	X
LOXL2	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	cTEC	681	0	0	X
LOXL2	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTEC	329	6	0.0182371	X
LOXL2	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mTEC-mimetic	55	9	0.163636	X
LOXL2	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	mcTEC	44	0	0	X
LOXL2	U48	U48-THY-0-SC-EPCP-1_5GEX	6-month-old stage	male	see_lv4_explore	1	0	0	X
LOXL2	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	cTEC	685	3	0.00437956	X
LOXL2	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTEC	342	12	0.0350877	X
LOXL2	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mTEC-mimetic	65	12	0.184615	X
LOXL2	U48	U48-THY-0-SC-EPCP-2_5GEX	6-month-old stage	male	mcTEC	45	1	0.0222222	X
LOXL2	Z11	TA9260017	2-year-old stage	female	mTEC	3	0	0	X
LOXL2	Z11	TA9260017	2-year-old stage	female	mTEC-mimetic	1	0	0	X
LOXL2	Z11	TA9260017	2-year-old stage	female	mcTEC	4	0	0	X
LOXL2	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	cTEC	3157	8	0.00253405	X
LOXL2	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTEC	974	13	0.013347	X
LOXL2	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTEC-mimetic	131	13	0.0992366	X
LOXL2	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mcTEC	2432	22	0.00904605	X
LOXL2	fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	see_lv4_explore	16	0	0	X
LOXL2	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	cTEC	186	2	0.0107527	X
LOXL2	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTEC	339	8	0.0235988	X
LOXL2	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTEC-mimetic	468	45	0.0961538	X
LOXL2	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mcTEC	277	4	0.0144404	X
LOXL2	fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	see_lv4_explore	23	0	0	X
LOXL2	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	cTEC	243	2	0.00823045	X
LOXL2	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTEC	367	11	0.0299728	X
LOXL2	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTEC-mimetic	458	47	0.10262	X
LOXL2	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mcTEC	263	2	0.00760456	X
LOXL2	fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	see_lv4_explore	26	0	0	X
LOXL2	postnatal_10m_donor	baut5	10-month-old stage	unknown	cTEC	48	0	0	X
LOXL2	postnatal_10m_donor	baut5	10-month-old stage	unknown	mTEC	134	1	0.00746269	X
LOXL2	postnatal_10m_donor	baut5	10-month-old stage	unknown	mTEC-mimetic	26	4	0.153846	X
LOXL2	postnatal_10m_donor	baut5	10-month-old stage	unknown	mcTEC	8	0	0	X
LOXL2	postnatal_10m_donor	baut6	10-month-old stage	unknown	cTEC	227	0	0	X
LOXL2	postnatal_10m_donor	baut6	10-month-old stage	unknown	mTEC	511	2	0.00391389	X
LOXL2	postnatal_10m_donor	baut6	10-month-old stage	unknown	mTEC-mimetic	76	7	0.0921053	X
LOXL2	postnatal_10m_donor	baut6	10-month-old stage	unknown	mcTEC	216	2	0.00925926	X
LOXL2	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	cTEC	42	0	0	X
LOXL2	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mTEC	55	0	0	X
LOXL2	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mTEC-mimetic	1	0	0	X
LOXL2	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mcTEC	2	0	0	X
LOXL3	6m_thymus_donor	GSM4838951	6-month-old stage	female	cTEC	192	0	0	X
LOXL3	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTEC	36	1	0.0277778	X
LOXL3	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTEC-mimetic	31	1	0.0322581	X
LOXL3	6m_thymus_donor	GSM4838951	6-month-old stage	female	mcTEC	17	0	0	X
LOXL3	6m_thymus_donor	GSM4838952	6-month-old stage	female	cTEC	1011	0	0	X
