model	term	coef	odds_ratio	std_error	pvalue	status
standard	Intercept	-25.558110111812137	7.947925920429759e-12	7.579290530887918	0.0007459791122532283	descriptive_cells_not_independent
standard	age_aged_vs_young	-2.1740155976457882	0.11372004486863853	0.40652186545863567	8.900803510862709e-08	descriptive_cells_not_independent
standard	log1p_total_counts	0.47627955409929806	1.610073055573151	1.3079099640713818	0.7157436376125168	descriptive_cells_not_independent
standard	log1p_n_genes_by_counts	2.2764360460146396	9.741898787286042	2.2908022224146456	0.3203549383551313	descriptive_cells_not_independent
standard	mito_frac	23.585892163731653	17507446886.487213	14.03929352307246	0.09295899200337947	descriptive_cells_not_independent
sample_clustered	Intercept	-25.558110111812137	7.947925920429759e-12	6.0538276660841435	2.4234836932193327e-05	descriptive_cells_not_independent
sample_clustered	age_aged_vs_young	-2.1740155976457882	0.11372004486863853	0.26715315345652474	4.028154680163316e-16	descriptive_cells_not_independent
sample_clustered	log1p_total_counts	0.47627955409929806	1.610073055573151	0.3462314456714182	0.16894230604419413	descriptive_cells_not_independent
sample_clustered	log1p_n_genes_by_counts	2.2764360460146396	9.741898787286042	1.0635046358450921	0.032314048858429714	descriptive_cells_not_independent
sample_clustered	mito_frac	23.585892163731653	17507446886.487213	9.584906849088254	0.01386536867337122	descriptive_cells_not_independent
