gene	donor_id	samples	age_development	sex	cell_types_epith	n_cells	n_detected	detection_fraction	matrix_used	not_generated_reason
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Immature TEC	1257	66	0.052506	raw.X	
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myelin+	19	3	0.157895	raw.X	
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myoid	104	14	0.134615	raw.X	
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Neuroendocrine	161	15	0.0931677	raw.X	
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC hi	2469	183	0.0741191	raw.X	
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC lo	2706	207	0.0764967	raw.X	
LOXL1	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC lo	888	66	0.0743243	raw.X	
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Aire+ mTEC hi	98	5	0.0510204	raw.X	
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Corneocyte-like mTEC	247	7	0.0283401	raw.X	
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Immature TEC	259	11	0.042471	raw.X	
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myelin+	88	3	0.0340909	raw.X	
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myoid	364	25	0.0686813	raw.X	
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Neuroendocrine	722	50	0.0692521	raw.X	
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC hi	215	9	0.0418605	raw.X	
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC lo	379	31	0.0817942	raw.X	
LOXL1	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC lo	66	10	0.151515	raw.X	
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Aire+ mTEC hi	35	3	0.0857143	raw.X	
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Corneocyte-like mTEC	295	14	0.0474576	raw.X	
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Immature TEC	264	7	0.0265152	raw.X	
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Myoid	40	0	0	raw.X	
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	Neuroendocrine	69	3	0.0434783	raw.X	
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC hi	151	5	0.0331126	raw.X	
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC lo	47	2	0.0425532	raw.X	
LOXL1	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC lo	273	24	0.0879121	raw.X	
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Aire+ mTEC hi	20	0	0	raw.X	
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Corneocyte-like mTEC	83	0	0	raw.X	
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Immature TEC	12	0	0	raw.X	
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Myoid	4	0	0	raw.X	
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	Neuroendocrine	2	0	0	raw.X	
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC hi	93	4	0.0430108	raw.X	
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC lo	5	0	0	raw.X	
LOXL1	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC lo	16	0	0	raw.X	
LOXL2	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Aire+ mTEC hi	11	1	0.0909091	raw.X	
LOXL2	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Corneocyte-like mTEC	31	1	0.0322581	raw.X	
LOXL2	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Immature TEC	1515	20	0.0132013	raw.X	
LOXL2	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myelin+	59	3	0.0508475	raw.X	
LOXL2	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Myoid	35	2	0.0571429	raw.X	
LOXL2	not_available	Adult (25 yo)	Adult (25 yo)	not_available	Neuroendocrine	130	4	0.0307692	raw.X	
LOXL2	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC hi	2	0	0	raw.X	
LOXL2	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC lo	25	0	0	raw.X	
LOXL2	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC lo	823	9	0.0109356	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Aire+ mTEC hi	79	4	0.0506329	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Corneocyte-like mTEC	56	3	0.0535714	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Immature TEC	1257	35	0.0278441	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myelin+	19	1	0.0526316	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Myoid	104	12	0.115385	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	Neuroendocrine	161	6	0.0372671	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC hi	2469	134	0.054273	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC lo	2706	107	0.0395418	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC lo	888	51	0.0574324	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Aire+ mTEC hi	98	5	0.0510204	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Corneocyte-like mTEC	247	15	0.0607287	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Immature TEC	259	16	0.0617761	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myelin+	88	5	0.0568182	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	Myoid	364	92	0.252747	raw.X	
