gene	annotation_level	group_or_subtype	status	n_young_samples	n_aged_samples	young_cell_count	aged_cell_count	raw_pvalue	original_padj	log2FC_18mo_vs_02mo	global_bh_fdr_lox_x_subtype_matrix	global_fdr_classification
Loxl2	subtype	11:aaTEC2	ok	1	3	10	257	0.9510660272417276	0.9997613420850404	-0.150673777074278	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	11:aaTEC2	ok	1	3	10	257	0.5183654908777109	0.9997613420850404	-1.3880970612132608	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	11:aaTEC2	not_tested_zero_counts	1	3	10	257					not_tested
Lox	subtype	12:cTEC	ok	2	2	48	326	0.365683626555316		1.281949017491939	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	12:cTEC	ok	2	2	48	326	0.8759076227798709		-0.3178218765183014	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl2	subtype	12:cTEC	ok	2	2	48	326	0.132397265062296		-2.6629516725080804	0.7402210728482911	not_significant_after_global_matrix_correction
Loxl3	subtype	12:cTEC	ok	2	2	48	326	0.4370058286303581		-2.33608280238697	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	12:cTEC	not_tested_zero_counts	2	2	48	326					not_tested
Lox	subtype	12:early Pr	ok	2	2	38	357	0.3369825413157075		-0.6694233454593053	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl1	subtype	12:early Pr	ok	2	2	38	357	0.1915466359917064		3.193905988434545	0.9424094490791955	not_significant_after_global_matrix_correction
Loxl2	subtype	12:early Pr	ok	2	2	38	357	0.2494833273291204		-2.984860165274444	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl3	subtype	12:early Pr	ok	2	2	38	357	0.8789860615674893		0.7904542046541909	0.9748426779227708	not_significant_after_global_matrix_correction
Loxl4	subtype	12:early Pr	not_tested_zero_counts	2	2	38	357					not_tested
Lox	subtype	13:mTEC1	ok	2	2	579	1053	0.0363995867818083	0.1300877696543736	0.7946098112468681	0.2687960723750491	not_significant_after_global_matrix_correction
Loxl1	subtype	13:mTEC1	ok	2	2	579	1053	0.6367155917731782	0.8118395017644121	0.2601428503247021	0.9748426779227708	not_significant_after_global_matrix_correction
