gene	donor_id	samples	age_development	sex	cell_type_broad_derived	n_cells	n_detected	detection_fraction	matrix_used	not_generated_reason
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC-like	5175	241	0.04657	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC-like	1023	58	0.056696	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	myoid-like	104	12	0.115385	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	neuroendocrine-like	161	6	0.0372671	raw.X	
LOXL2	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	other_epithelial	19	1	0.0526316	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	TEC-like	259	16	0.0617761	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC-like	594	36	0.0606061	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC-like	411	27	0.0656934	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	myoid-like	364	92	0.252747	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	neuroendocrine-like	722	38	0.0526316	raw.X	
LOXL2	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	other_epithelial	88	5	0.0568182	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	TEC-like	264	6	0.0227273	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC-like	198	4	0.020202	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC-like	603	12	0.0199005	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	myoid-like	40	9	0.225	raw.X	
LOXL2	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	neuroendocrine-like	69	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	TEC-like	12	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC-like	98	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	mTEC-like	119	0	0	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	myoid-like	4	2	0.5	raw.X	
LOXL2	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	neuroendocrine-like	2	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	TEC-like	1515	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	cTEC-like	27	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	mTEC-like	865	1	0.00115607	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	myoid-like	35	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	neuroendocrine-like	130	0	0	raw.X	
LOXL3	not_available	Adult (25 yo)	Adult (25 yo)	not_available	other_epithelial	59	0	0	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	TEC-like	1257	2	0.00159109	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	cTEC-like	5175	20	0.00386473	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	mTEC-like	1023	3	0.00293255	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	myoid-like	104	2	0.0192308	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	neuroendocrine-like	161	0	0	raw.X	
LOXL3	not_available	Fetal (19 weeks)	Fetal (19 weeks)	not_available	other_epithelial	19	3	0.157895	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	TEC-like	259	0	0	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	cTEC-like	594	2	0.003367	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	mTEC-like	411	2	0.00486618	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	myoid-like	364	6	0.0164835	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	neuroendocrine-like	722	11	0.0152355	raw.X	
LOXL3	not_available	Fetal (23 weeks)	Fetal (23 weeks)	not_available	other_epithelial	88	3	0.0340909	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	TEC-like	264	4	0.0151515	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	cTEC-like	198	0	0	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	mTEC-like	603	1	0.00165837	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	myoid-like	40	0	0	raw.X	
LOXL3	not_available	Postnatal (10 months)	Postnatal (10 months)	not_available	neuroendocrine-like	69	4	0.057971	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	TEC-like	12	0	0	raw.X	
LOXL3	not_available	Postnatal (6 days)	Postnatal (6 days)	not_available	cTEC-like	98	0	0	raw.X	
