fine_cell_type	target_compartments	gene	n_cells	n_detected_cells	detection_fraction	n_donor_sample_units
γδT_2	other	LOXL2	146	1	0.00684931506849315	17
γδT_2	other	LOXL3	146	0	0.0	17
γδT_2	other	LOXL4	146	0	0.0	17
γδT_3	other	LOX	179	0	0.0	18
γδT_3	other	LOXL1	179	0	0.0	18
γδT_3	other	LOXL2	179	1	0.00558659217877095	18
γδT_3	other	LOXL3	179	0	0.0	18
γδT_3	other	LOXL4	179	0	0.0	18
γδT_P	other	LOX	800	1	0.00125	26
γδT_P	other	LOXL1	800	7	0.00875	26
γδT_P	other	LOXL2	800	4	0.005	26
γδT_P	other	LOXL3	800	18	0.0225	26
γδT_P	other	LOXL4	800	1	0.00125	26
