gene	unadjusted_age_coef_log2_cpm_plus1	unadjusted_age_se	unadjusted_age_pvalue	unadjusted_r_squared	adjusted_age_coef_log2_cpm_plus1	adjusted_age_se	adjusted_age_pvalue	adjusted_r_squared	adjusted_n_samples	adjusted_model_rank	adjusted_df_resid	adjusted_covariates	adjusted_model_note	broad_fb_deseq2_log2fc	broad_fb_deseq2_lfcSE	broad_fb_deseq2_pvalue	broad_fb_deseq2_padj	broad_fb_deseq2_significance	broad_fb_deseq2_direction	subtype_stratified_effects	composition_sensitivity_conclusion	mo02_CD45neg1_d0_stage	mo02_CD45neg1_d0_n_fb_cells	mo02_CD45neg1_d0_capsFB_fraction	mo02_CD45neg1_d0_intFB_fraction	mo02_CD45neg1_d0_medFB_fraction	mo02_CD45neg1_d0_Fat_fraction	mo02_CD45neg2_d0_stage	mo02_CD45neg2_d0_n_fb_cells	mo02_CD45neg2_d0_capsFB_fraction	mo02_CD45neg2_d0_intFB_fraction	mo02_CD45neg2_d0_medFB_fraction	mo02_CD45neg2_d0_Fat_fraction	mo02_FB_d0_stage	mo02_FB_d0_n_fb_cells	mo02_FB_d0_capsFB_fraction	mo02_FB_d0_intFB_fraction	mo02_FB_d0_medFB_fraction	mo02_FB_d0_Fat_fraction	mo18_CD45neg1_d0_stage	mo18_CD45neg1_d0_n_fb_cells	mo18_CD45neg1_d0_capsFB_fraction	mo18_CD45neg1_d0_intFB_fraction	mo18_CD45neg1_d0_medFB_fraction	mo18_CD45neg1_d0_Fat_fraction	mo18_CD45neg2_d0_stage	mo18_CD45neg2_d0_n_fb_cells	mo18_CD45neg2_d0_capsFB_fraction	mo18_CD45neg2_d0_intFB_fraction	mo18_CD45neg2_d0_medFB_fraction	mo18_CD45neg2_d0_Fat_fraction	mo18_FB_d0_stage	mo18_FB_d0_n_fb_cells	mo18_FB_d0_capsFB_fraction	mo18_FB_d0_intFB_fraction	mo18_FB_d0_medFB_fraction	mo18_FB_d0_Fat_fraction
Lox	-1.1896045693355792	0.35165006455732545	0.027710534791657616	0.7410023903482749	-3.8784759348813935	4.838889376342097	0.5698562277407977	0.9930849555167984	6	5	1.0	capsFB_fraction,intFB_fraction,medFB_fraction,Fat_fraction	extremely small-n OLS sensitivity model; df_resid=1	-1.2949016364588477	0.26541786404647	1.0677204297735093e-06	4.363802253793245e-05	FDR<0.05	down_in_aged	3:capsFB: log2FC=-1.46, padj=7.52e-05, down_in_aged; 4:intFB: log2FC=-0.626, padj=0.0716, down_in_aged; 5:medFB: log2FC=1.1, padj=0.0747, up_in_aged; 9:Fat: log2FC=-0.384, padj=1, down_in_aged	retain: adjusted coefficient keeps the broad FB direction	02mo	1709	0.4014043300175541	0.40550029256875364	0.18841427735517846	0.004681100058513751	02mo	1473	0.39171758316361166	0.41615750169721655	0.18805159538357094	0.004073319755600814	02mo	3977	0.3356801609253206	0.3482524515966809	0.31229570027659037	0.0037716872014080965	18mo	431	0.3990719257540603	0.18097447795823665	0.4013921113689095	0.018561484918793503	18mo	775	0.3535483870967742	0.2270967741935484	0.4038709677419355	0.015483870967741935	18mo	4875	0.1686153846153846	0.33353846153846156	0.49128205128205127	0.006564102564102564
Loxl1	-0.41308626516848435	0.2465265799547933	0.16912075084964048	0.4124318876254993	-3.3409404359460666	0.08817940281135342	0.01679877941916026	0.9999894002832206	6	5	1.0	capsFB_fraction,intFB_fraction,medFB_fraction,Fat_fraction	extremely small-n OLS sensitivity model; df_resid=1	-0.6157903047606486	0.1897345403526846	0.0011722968993116	0.0143501963005337	FDR<0.05	down_in_aged	3:capsFB: log2FC=-0.254, padj=0.482, down_in_aged; 4:intFB: log2FC=-0.512, padj=0.0541, down_in_aged; 5:medFB: log2FC=0.751, padj=0.0226, up_in_aged; 9:Fat: log2FC=-0.586, padj=1, down_in_aged	retain: adjusted coefficient keeps the broad FB direction	02mo	1709	0.4014043300175541	0.40550029256875364	0.18841427735517846	0.004681100058513751	02mo	1473	0.39171758316361166	0.41615750169721655	0.18805159538357094	0.004073319755600814	02mo	3977	0.3356801609253206	0.3482524515966809	0.31229570027659037	0.0037716872014080965	18mo	431	0.3990719257540603	0.18097447795823665	0.4013921113689095	0.018561484918793503	18mo	775	0.3535483870967742	0.2270967741935484	0.4038709677419355	0.015483870967741935	18mo	4875	0.1686153846153846	0.33353846153846156	0.49128205128205127	0.006564102564102564
Loxl2	-0.3167867164024707	0.12828189996411204	0.06898691153866754	0.6038906249638669	-2.8330549438292536	0.8048272423207488	0.176211456257232	0.9978015381757476	6	5	1.0	capsFB_fraction,intFB_fraction,medFB_fraction,Fat_fraction	extremely small-n OLS sensitivity model; df_resid=1	-0.5168644214764081	0.1667682570839834	0.0019398021242926	0.0208187989521313	FDR<0.05	down_in_aged	3:capsFB: log2FC=0.147, padj=0.866, up_in_aged; 4:intFB: log2FC=-0.578, padj=0.19, down_in_aged; 5:medFB: log2FC=-0.995, padj=0.00672, down_in_aged; 9:Fat: log2FC=-0.0326, padj=1, down_in_aged	retain: adjusted coefficient keeps the broad FB direction	02mo	1709	0.4014043300175541	0.40550029256875364	0.18841427735517846	0.004681100058513751	02mo	1473	0.39171758316361166	0.41615750169721655	0.18805159538357094	0.004073319755600814	02mo	3977	0.3356801609253206	0.3482524515966809	0.31229570027659037	0.0037716872014080965	18mo	431	0.3990719257540603	0.18097447795823665	0.4013921113689095	0.018561484918793503	18mo	775	0.3535483870967742	0.2270967741935484	0.4038709677419355	0.015483870967741935	18mo	4875	0.1686153846153846	0.33353846153846156	0.49128205128205127	0.006564102564102564
