target_compartment	broad_compartment	fine_cell_type	n_cells	n_donors	n_samples	age_groups
other	Tcell	CD4+CTL	10464	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	CD8+TN	9586	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	CD8+TEM-K	7926	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	CD4+TCM	7867	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	NK	CD56_Dim_NK	6327	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other		Thy2a	6015	18	18	age_unknown
other		Thy3	5975	18	18	age_unknown
other		Thy2b	5911	18	18	age_unknown
other	Hema	TP2	5753	37	37	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Memory_B	Memory_B	5583	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Mono2	Mono2	5101	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	αβ_Entry	5038	17	17	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	MK	MK	4913	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other			4874	32	32	age_unknown
other	Tcell	CD4+TEFF	4872	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	MemoryB	4501	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Hema	Agonist_1	3995	18	18	adult_40_64y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	Treg	3491	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	Vδ1T-2	3186	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	CD4+TEM	2968	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
other	Tcell	Vδ2Vγ9T	2867	22	22	adult_40_64y; fetal_or_infant_lt1y; older_adult_65plus; pediatric_1_17y; young_adult_18_39y
