age_group	broad_compartment	fine_cell_type	target_compartments	gene	n_cells	n_detected_cells	detection_fraction	n_donor_sample_units
young_adult_18_39y	Hema	αβ_Entry	other	LOX	1583	1	0.0006317119393556538	6
young_adult_18_39y	Hema	αβ_Entry	other	LOXL1	1583	11	0.006948831332912192	6
young_adult_18_39y	Hema	αβ_Entry	other	LOXL2	1583	2	0.0012634238787113076	6
young_adult_18_39y	Hema	αβ_Entry	other	LOXL3	1583	0	0.0	6
young_adult_18_39y	Hema	αβ_Entry	other	LOXL4	1583	0	0.0	6
young_adult_18_39y	Hema	γδT_1	other	LOX	50	0	0.0	6
young_adult_18_39y	Hema	γδT_1	other	LOXL1	50	0	0.0	6
young_adult_18_39y	Hema	γδT_1	other	LOXL2	50	0	0.0	6
young_adult_18_39y	Hema	γδT_1	other	LOXL3	50	0	0.0	6
young_adult_18_39y	Hema	γδT_1	other	LOXL4	50	0	0.0	6
young_adult_18_39y	Hema	γδT_2	other	LOX	40	0	0.0	6
young_adult_18_39y	Hema	γδT_2	other	LOXL1	40	0	0.0	6
young_adult_18_39y	Hema	γδT_2	other	LOXL2	40	0	0.0	6
young_adult_18_39y	Hema	γδT_2	other	LOXL3	40	0	0.0	6
young_adult_18_39y	Hema	γδT_2	other	LOXL4	40	0	0.0	6
young_adult_18_39y	Hema	γδT_3	other	LOX	46	0	0.0	6
young_adult_18_39y	Hema	γδT_3	other	LOXL1	46	0	0.0	6
young_adult_18_39y	Hema	γδT_3	other	LOXL2	46	0	0.0	6
young_adult_18_39y	Hema	γδT_3	other	LOXL3	46	0	0.0	6
young_adult_18_39y	Hema	γδT_3	other	LOXL4	46	0	0.0	6
young_adult_18_39y	Hema	γδT_P	other	LOX	57	0	0.0	7
young_adult_18_39y	Hema	γδT_P	other	LOXL1	57	2	0.03508771929824561	7
young_adult_18_39y	Hema	γδT_P	other	LOXL2	57	0	0.0	7
young_adult_18_39y	Hema	γδT_P	other	LOXL3	57	3	0.05263157894736842	7
young_adult_18_39y	Hema	γδT_P	other	LOXL4	57	0	0.0	7
young_adult_18_39y	MK	MK	other	LOX	1391	12	0.008626887131560028	4
young_adult_18_39y	MK	MK	other	LOXL1	1391	1	0.0007189072609633358	4
young_adult_18_39y	MK	MK	other	LOXL2	1391	0	0.0	4
young_adult_18_39y	MK	MK	other	LOXL3	1391	32	0.023005032350826744	4
young_adult_18_39y	MK	MK	other	LOXL4	1391	0	0.0	4
young_adult_18_39y	Memory_B	Memory_B	other	LOX	743	0	0.0	4
young_adult_18_39y	Memory_B	Memory_B	other	LOXL1	743	0	0.0	4
young_adult_18_39y	Memory_B	Memory_B	other	LOXL2	743	2	0.0026917900403768506	4
young_adult_18_39y	Memory_B	Memory_B	other	LOXL3	743	1	0.0013458950201884253	4
young_adult_18_39y	Memory_B	Memory_B	other	LOXL4	743	0	0.0	4
young_adult_18_39y	Mes	Fb_1	mesenchymal_or_fibroblast_like	LOX	2368	707	0.2985641891891892	9
young_adult_18_39y	Mes	Fb_1	mesenchymal_or_fibroblast_like	LOXL1	2368	308	0.13006756756756757	9
young_adult_18_39y	Mes	Fb_1	mesenchymal_or_fibroblast_like	LOXL2	2368	154	0.06503378378378379	9
young_adult_18_39y	Mes	Fb_1	mesenchymal_or_fibroblast_like	LOXL3	2368	89	0.03758445945945946	9
young_adult_18_39y	Mes	Fb_1	mesenchymal_or_fibroblast_like	LOXL4	2368	73	0.030827702702702704	9
young_adult_18_39y	Mes	Fb_2	mesenchymal_or_fibroblast_like	LOX	511	221	0.4324853228962818	7
young_adult_18_39y	Mes	Fb_2	mesenchymal_or_fibroblast_like	LOXL1	511	151	0.29549902152641877	7
young_adult_18_39y	Mes	Fb_2	mesenchymal_or_fibroblast_like	LOXL2	511	35	0.0684931506849315	7
young_adult_18_39y	Mes	Fb_2	mesenchymal_or_fibroblast_like	LOXL3	511	23	0.04500978473581213	7
young_adult_18_39y	Mes	Fb_2	mesenchymal_or_fibroblast_like	LOXL4	511	32	0.06262230919765166	7
young_adult_18_39y	Mes	MKI67+VSMCs	mesenchymal_or_fibroblast_like	LOX	1	0	0.0	1
young_adult_18_39y	Mes	MKI67+VSMCs	mesenchymal_or_fibroblast_like	LOXL1	1	0	0.0	1
young_adult_18_39y	Mes	MKI67+VSMCs	mesenchymal_or_fibroblast_like	LOXL2	1	0	0.0	1
young_adult_18_39y	Mes	MKI67+VSMCs	mesenchymal_or_fibroblast_like	LOXL3	1	0	0.0	1
young_adult_18_39y	Mes	MKI67+VSMCs	mesenchymal_or_fibroblast_like	LOXL4	1	0	0.0	1
young_adult_18_39y	Mes	VSMCs	mesenchymal_or_fibroblast_like	LOX	91	16	0.17582417582417584	7
young_adult_18_39y	Mes	VSMCs	mesenchymal_or_fibroblast_like	LOXL1	91	11	0.12087912087912088	7
young_adult_18_39y	Mes	VSMCs	mesenchymal_or_fibroblast_like	LOXL2	91	8	0.08791208791208792	7
young_adult_18_39y	Mes	VSMCs	mesenchymal_or_fibroblast_like	LOXL3	91	4	0.04395604395604396	7
young_adult_18_39y	Mes	VSMCs	mesenchymal_or_fibroblast_like	LOXL4	91	2	0.02197802197802198	7
young_adult_18_39y	Mono1	Mono1	other	LOX	6097	1	0.0001640150893882237	4
young_adult_18_39y	Mono1	Mono1	other	LOXL1	6097	0	0.0	4
young_adult_18_39y	Mono1	Mono1	other	LOXL2	6097	4	0.0006560603575528948	4
young_adult_18_39y	Mono1	Mono1	other	LOXL3	6097	357	0.05855338691159587	4
young_adult_18_39y	Mono1	Mono1	other	LOXL4	6097	0	0.0	4
young_adult_18_39y	Mono2	Mono2	other	LOX	893	0	0.0	4
young_adult_18_39y	Mono2	Mono2	other	LOXL1	893	0	0.0	4
young_adult_18_39y	Mono2	Mono2	other	LOXL2	893	2	0.0022396416573348264	4
young_adult_18_39y	Mono2	Mono2	other	LOXL3	893	140	0.15677491601343785	4
young_adult_18_39y	Mono2	Mono2	other	LOXL4	893	0	0.0	4
young_adult_18_39y	Mono3	Mono3	other	LOX	2	0	0.0	2
young_adult_18_39y	Mono3	Mono3	other	LOXL1	2	0	0.0	2
young_adult_18_39y	Mono3	Mono3	other	LOXL2	2	0	0.0	2
young_adult_18_39y	Mono3	Mono3	other	LOXL3	2	0	0.0	2
young_adult_18_39y	Mono3	Mono3	other	LOXL4	2	0	0.0	2
young_adult_18_39y	NK	CD56_Bright_NK	other	LOX	152	0	0.0	4
young_adult_18_39y	NK	CD56_Bright_NK	other	LOXL1	152	0	0.0	4
young_adult_18_39y	NK	CD56_Bright_NK	other	LOXL2	152	0	0.0	4
young_adult_18_39y	NK	CD56_Bright_NK	other	LOXL3	152	1	0.006578947368421052	4
young_adult_18_39y	NK	CD56_Bright_NK	other	LOXL4	152	0	0.0	4
young_adult_18_39y	NK	CD56_Dim_NK	other	LOX	883	0	0.0	4
young_adult_18_39y	NK	CD56_Dim_NK	other	LOXL1	883	0	0.0	4
young_adult_18_39y	NK	CD56_Dim_NK	other	LOXL2	883	1	0.0011325028312570782	4
young_adult_18_39y	NK	CD56_Dim_NK	other	LOXL3	883	0	0.0	4
young_adult_18_39y	NK	CD56_Dim_NK	other	LOXL4	883	0	0.0	4
young_adult_18_39y	NK	LAG3+NK	other	LOX	1514	1	0.0006605019815059445	4
young_adult_18_39y	NK	LAG3+NK	other	LOXL1	1514	3	0.0019815059445178335	4
young_adult_18_39y	NK	LAG3+NK	other	LOXL2	1514	5	0.0033025099075297227	4
young_adult_18_39y	NK	LAG3+NK	other	LOXL3	1514	2	0.001321003963011889	4
young_adult_18_39y	NK	LAG3+NK	other	LOXL4	1514	0	0.0	4
young_adult_18_39y	Naive_B	Naive_B	other	LOX	1543	1	0.0006480881399870382	4
young_adult_18_39y	Naive_B	Naive_B	other	LOXL1	1543	1	0.0006480881399870382	4
young_adult_18_39y	Naive_B	Naive_B	other	LOXL2	1543	4	0.002592352559948153	4
young_adult_18_39y	Naive_B	Naive_B	other	LOXL3	1543	4	0.002592352559948153	4
young_adult_18_39y	Naive_B	Naive_B	other	LOXL4	1543	0	0.0	4
young_adult_18_39y	Plasma	Plasma	other	LOX	103	0	0.0	4
young_adult_18_39y	Plasma	Plasma	other	LOXL1	103	0	0.0	4
young_adult_18_39y	Plasma	Plasma	other	LOXL2	103	3	0.02912621359223301	4
young_adult_18_39y	Plasma	Plasma	other	LOXL3	103	1	0.009708737864077669	4
young_adult_18_39y	Plasma	Plasma	other	LOXL4	103	0	0.0	4
young_adult_18_39y	Tcell	CD4+CTL	other	LOX	631	1	0.001584786053882726	4
young_adult_18_39y	Tcell	CD4+CTL	other	LOXL1	631	5	0.00792393026941363	4
young_adult_18_39y	Tcell	CD4+CTL	other	LOXL2	631	1	0.001584786053882726	4
young_adult_18_39y	Tcell	CD4+CTL	other	LOXL3	631	1	0.001584786053882726	4
young_adult_18_39y	Tcell	CD4+CTL	other	LOXL4	631	1	0.001584786053882726	4
young_adult_18_39y	Tcell	CD4+RTE	other	LOX	348	0	0.0	4
young_adult_18_39y	Tcell	CD4+RTE	other	LOXL1	348	0	0.0	4
young_adult_18_39y	Tcell	CD4+RTE	other	LOXL2	348	1	0.0028735632183908046	4
young_adult_18_39y	Tcell	CD4+RTE	other	LOXL3	348	0	0.0	4
young_adult_18_39y	Tcell	CD4+RTE	other	LOXL4	348	0	0.0	4
young_adult_18_39y	Tcell	CD4+TCM	other	LOX	1860	0	0.0	4
young_adult_18_39y	Tcell	CD4+TCM	other	LOXL1	1860	9	0.004838709677419355	4
young_adult_18_39y	Tcell	CD4+TCM	other	LOXL2	1860	9	0.004838709677419355	4
young_adult_18_39y	Tcell	CD4+TCM	other	LOXL3	1860	0	0.0	4
young_adult_18_39y	Tcell	CD4+TCM	other	LOXL4	1860	0	0.0	4
young_adult_18_39y	Tcell	CD4+TEFF	other	LOX	1206	0	0.0	4
young_adult_18_39y	Tcell	CD4+TEFF	other	LOXL1	1206	34	0.028192371475953566	4
young_adult_18_39y	Tcell	CD4+TEFF	other	LOXL2	1206	1	0.0008291873963515755	4
young_adult_18_39y	Tcell	CD4+TEFF	other	LOXL3	1206	1	0.0008291873963515755	4
young_adult_18_39y	Tcell	CD4+TEFF	other	LOXL4	1206	0	0.0	4
young_adult_18_39y	Tcell	CD4+TEM	other	LOX	734	0	0.0	4
young_adult_18_39y	Tcell	CD4+TEM	other	LOXL1	734	19	0.025885558583106268	4
young_adult_18_39y	Tcell	CD4+TEM	other	LOXL2	734	2	0.0027247956403269754	4
young_adult_18_39y	Tcell	CD4+TEM	other	LOXL3	734	1	0.0013623978201634877	4
young_adult_18_39y	Tcell	CD4+TEM	other	LOXL4	734	0	0.0	4
young_adult_18_39y	Tcell	CD4+TN	other	LOX	3653	0	0.0	4
young_adult_18_39y	Tcell	CD4+TN	other	LOXL1	3653	5	0.001368738023542294	4
young_adult_18_39y	Tcell	CD4+TN	other	LOXL2	3653	2	0.0005474952094169176	4
young_adult_18_39y	Tcell	CD4+TN	other	LOXL3	3653	2	0.0005474952094169176	4
young_adult_18_39y	Tcell	CD4+TN	other	LOXL4	3653	0	0.0	4
young_adult_18_39y	Tcell	CD8+RTE	other	LOX	72	0	0.0	4
young_adult_18_39y	Tcell	CD8+RTE	other	LOXL1	72	0	0.0	4
young_adult_18_39y	Tcell	CD8+RTE	other	LOXL2	72	0	0.0	4
young_adult_18_39y	Tcell	CD8+RTE	other	LOXL3	72	0	0.0	4
young_adult_18_39y	Tcell	CD8+RTE	other	LOXL4	72	0	0.0	4
young_adult_18_39y	Tcell	CD8+TCM	other	LOX	352	0	0.0	4
young_adult_18_39y	Tcell	CD8+TCM	other	LOXL1	352	0	0.0	4
young_adult_18_39y	Tcell	CD8+TCM	other	LOXL2	352	0	0.0	4
young_adult_18_39y	Tcell	CD8+TCM	other	LOXL3	352	0	0.0	4
young_adult_18_39y	Tcell	CD8+TCM	other	LOXL4	352	0	0.0	4
young_adult_18_39y	Tcell	CD8+TEM-B	other	LOX	751	0	0.0	4
young_adult_18_39y	Tcell	CD8+TEM-B	other	LOXL1	751	1	0.0013315579227696406	4
young_adult_18_39y	Tcell	CD8+TEM-B	other	LOXL2	751	1	0.0013315579227696406	4
young_adult_18_39y	Tcell	CD8+TEM-B	other	LOXL3	751	0	0.0	4
young_adult_18_39y	Tcell	CD8+TEM-B	other	LOXL4	751	0	0.0	4
young_adult_18_39y	Tcell	CD8+TEM-K	other	LOX	898	0	0.0	4
young_adult_18_39y	Tcell	CD8+TEM-K	other	LOXL1	898	4	0.004454342984409799	4
young_adult_18_39y	Tcell	CD8+TEM-K	other	LOXL2	898	1	0.0011135857461024498	4
young_adult_18_39y	Tcell	CD8+TEM-K	other	LOXL3	898	0	0.0	4
young_adult_18_39y	Tcell	CD8+TEM-K	other	LOXL4	898	0	0.0	4
young_adult_18_39y	Tcell	CD8+TN	other	LOX	2422	0	0.0	4
young_adult_18_39y	Tcell	CD8+TN	other	LOXL1	2422	4	0.0016515276630883566	4
young_adult_18_39y	Tcell	CD8+TN	other	LOXL2	2422	2	0.0008257638315441783	4
young_adult_18_39y	Tcell	CD8+TN	other	LOXL3	2422	4	0.0016515276630883566	4
young_adult_18_39y	Tcell	CD8+TN	other	LOXL4	2422	0	0.0	4
young_adult_18_39y	Tcell	IFN_T	other	LOX	81	0	0.0	4
young_adult_18_39y	Tcell	IFN_T	other	LOXL1	81	0	0.0	4
young_adult_18_39y	Tcell	IFN_T	other	LOXL2	81	0	0.0	4
young_adult_18_39y	Tcell	IFN_T	other	LOXL3	81	0	0.0	4
young_adult_18_39y	Tcell	IFN_T	other	LOXL4	81	0	0.0	4
young_adult_18_39y	Tcell	MAIT	other	LOX	585	0	0.0	4
young_adult_18_39y	Tcell	MAIT	other	LOXL1	585	2	0.003418803418803419	4
young_adult_18_39y	Tcell	MAIT	other	LOXL2	585	5	0.008547008547008548	4
young_adult_18_39y	Tcell	MAIT	other	LOXL3	585	2	0.003418803418803419	4
young_adult_18_39y	Tcell	MAIT	other	LOXL4	585	0	0.0	4
young_adult_18_39y	Tcell	T_un	other	LOX	85	0	0.0	4
young_adult_18_39y	Tcell	T_un	other	LOXL1	85	0	0.0	4
young_adult_18_39y	Tcell	T_un	other	LOXL2	85	0	0.0	4
young_adult_18_39y	Tcell	T_un	other	LOXL3	85	0	0.0	4
young_adult_18_39y	Tcell	T_un	other	LOXL4	85	0	0.0	4
young_adult_18_39y	Tcell	Tex	other	LOX	73	0	0.0	4
young_adult_18_39y	Tcell	Tex	other	LOXL1	73	0	0.0	4
young_adult_18_39y	Tcell	Tex	other	LOXL2	73	0	0.0	4
young_adult_18_39y	Tcell	Tex	other	LOXL3	73	0	0.0	4
young_adult_18_39y	Tcell	Tex	other	LOXL4	73	0	0.0	4
young_adult_18_39y	Tcell	Treg	other	LOX	599	0	0.0	4
young_adult_18_39y	Tcell	Treg	other	LOXL1	599	11	0.018363939899833055	4
young_adult_18_39y	Tcell	Treg	other	LOXL2	599	4	0.00667779632721202	4
young_adult_18_39y	Tcell	Treg	other	LOXL3	599	0	0.0	4
young_adult_18_39y	Tcell	Treg	other	LOXL4	599	0	0.0	4
young_adult_18_39y	Tcell	Vδ1T-1	other	LOX	78	0	0.0	4
young_adult_18_39y	Tcell	Vδ1T-1	other	LOXL1	78	1	0.01282051282051282	4
young_adult_18_39y	Tcell	Vδ1T-1	other	LOXL2	78	0	0.0	4
young_adult_18_39y	Tcell	Vδ1T-1	other	LOXL3	78	1	0.01282051282051282	4
young_adult_18_39y	Tcell	Vδ1T-1	other	LOXL4	78	0	0.0	4
young_adult_18_39y	Tcell	Vδ1T-2	other	LOX	328	0	0.0	4
young_adult_18_39y	Tcell	Vδ1T-2	other	LOXL1	328	3	0.009146341463414634	4
young_adult_18_39y	Tcell	Vδ1T-2	other	LOXL2	328	0	0.0	4
young_adult_18_39y	Tcell	Vδ1T-2	other	LOXL3	328	0	0.0	4
young_adult_18_39y	Tcell	Vδ1T-2	other	LOXL4	328	0	0.0	4
young_adult_18_39y	Tcell	Vδ2Vγ9T	other	LOX	637	0	0.0	4
young_adult_18_39y	Tcell	Vδ2Vγ9T	other	LOXL1	637	2	0.0031397174254317113	4
young_adult_18_39y	Tcell	Vδ2Vγ9T	other	LOXL2	637	1	0.0015698587127158557	4
young_adult_18_39y	Tcell	Vδ2Vγ9T	other	LOXL3	637	0	0.0	4
young_adult_18_39y	Tcell	Vδ2Vγ9T	other	LOXL4	637	0	0.0	4
young_adult_18_39y	cDC	cDC	other	LOX	421	0	0.0	4
young_adult_18_39y	cDC	cDC	other	LOXL1	421	0	0.0	4
young_adult_18_39y	cDC	cDC	other	LOXL2	421	1	0.0023752969121140144	4
young_adult_18_39y	cDC	cDC	other	LOXL3	421	32	0.07600950118764846	4
young_adult_18_39y	cDC	cDC	other	LOXL4	421	0	0.0	4
young_adult_18_39y	pDC	pDC	other	LOX	86	0	0.0	4
young_adult_18_39y	pDC	pDC	other	LOXL1	86	0	0.0	4
young_adult_18_39y	pDC	pDC	other	LOXL2	86	1	0.011627906976744186	4
young_adult_18_39y	pDC	pDC	other	LOXL3	86	0	0.0	4
young_adult_18_39y	pDC	pDC	other	LOXL4	86	1	0.011627906976744186	4
