gene	donor_id	sample_id	development_stage	sex	cell_type	n_cells	n_detected	detection_fraction
LOX	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	450	36	0.08
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	cortical thymic epithelial cell	235	0	0
LOX	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	medullary thymic epithelial cell	1809	46	0.0254284
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	cortical thymic epithelial cell	30	0	0
LOX	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	medullary thymic epithelial cell	110	5	0.0454545
LOX	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	cortical thymic epithelial cell	18	0	0
LOX	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	medullary thymic epithelial cell	81	3	0.037037
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	21	0	0
LOXL1	A43	A43_TH_45NM_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	2225	46	0.0206742
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	cortical thymic epithelial cell	18	0	0
LOXL1	A43	A43_TH_45NM_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	2278	44	0.0193152
LOXL1	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	cortical thymic epithelial cell	2	0	0
LOXL1	A43	A43_TH_TOT_5GEX_1	fourth decade stage	male	medullary thymic epithelial cell	74	4	0.0540541
LOXL1	A43	A43_TH_TOT_5GEX_2	fourth decade stage	male	medullary thymic epithelial cell	4	0	0
LOXL1	A45	A45_TH_45NM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	191	7	0.0366492
LOXL1	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	medullary thymic epithelial cell	1218	36	0.0295567
LOXL1	A45	A45_TH_TOT_5GEX	15-19 year-old	male	medullary thymic epithelial cell	13	1	0.0769231
LOXL1	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	cortical thymic epithelial cell	60	10	0.166667
LOXL1	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	medullary thymic epithelial cell	3	1	0.333333
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	cortical thymic epithelial cell	2628	620	0.235921
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	epithelial cell of thymus	4	1	0.25
LOXL1	C40	C40_TH_TOT_1	organogenesis stage	female	medullary thymic epithelial cell	178	39	0.219101
LOXL1	C40	C40_TH_TOT_2	organogenesis stage	female	cortical thymic epithelial cell	2774	689	0.248378
LOXL1	C40	C40_TH_TOT_2	organogenesis stage	female	epithelial cell of thymus	3	1	0.333333
LOXL1	C40	C40_TH_TOT_2	organogenesis stage	female	medullary thymic epithelial cell	211	43	0.203791
LOXL1	C41	C41_TH_TOT_1	organogenesis stage	male	cortical thymic epithelial cell	1754	545	0.310718
LOXL1	C41	C41_TH_TOT_1	organogenesis stage	male	epithelial cell of thymus	35	10	0.285714
LOXL1	C41	C41_TH_TOT_1	organogenesis stage	male	medullary thymic epithelial cell	19	5	0.263158
LOXL1	C41	C41_TH_TOT_2	organogenesis stage	male	cortical thymic epithelial cell	1774	605	0.341037
LOXL1	C41	C41_TH_TOT_2	organogenesis stage	male	epithelial cell of thymus	32	9	0.28125
LOXL1	C41	C41_TH_TOT_2	organogenesis stage	male	medullary thymic epithelial cell	30	9	0.3
LOXL1	F21	F21_TH_45N	16th week post-fertilization stage	male	cortical thymic epithelial cell	7	0	0
LOXL1	F21	F21_TH_45N	16th week post-fertilization stage	male	medullary thymic epithelial cell	40	4	0.1
LOXL1	F22	F22_TH_TOT	10th week post-fertilization stage	female	cortical thymic epithelial cell	8	1	0.125
LOXL1	F22	F22_TH_TOT	10th week post-fertilization stage	female	medullary thymic epithelial cell	9	3	0.333333
LOXL1	F30	F30_TH_45N	15th week post-fertilization stage	male	cortical thymic epithelial cell	7	0	0
LOXL1	F30	F30_TH_45N	15th week post-fertilization stage	male	medullary thymic epithelial cell	13	0	0
LOXL1	F38	F38_TH_45N_1	13th week post-fertilization stage	male	medullary thymic epithelial cell	12	0	0
LOXL1	F38	F38_TH_45N_2	13th week post-fertilization stage	male	medullary thymic epithelial cell	13	0	0
LOXL1	F41	F41_TH_45N	17th week post-fertilization stage	female	medullary thymic epithelial cell	4	0	0
LOXL1	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	7	0	0
LOXL1	F45	F45_TH_45N	12th week post-fertilization stage	female	medullary thymic epithelial cell	4	0	0
LOXL1	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	medullary thymic epithelial cell	9	0	0
