gene	donor_id	sample_id	development_stage	sex	cell_type	n_cells	n_detected	detection_fraction
LOXL4	C40	C40_TH_TOT_2	organogenesis stage	female	cortical thymic epithelial cell	2774	14	0.00504686
LOXL4	C40	C40_TH_TOT_2	organogenesis stage	female	epithelial cell of thymus	3	0	0
LOXL4	C40	C40_TH_TOT_2	organogenesis stage	female	medullary thymic epithelial cell	211	3	0.014218
LOXL4	C41	C41_TH_TOT_1	organogenesis stage	male	cortical thymic epithelial cell	1754	27	0.0153934
LOXL4	C41	C41_TH_TOT_1	organogenesis stage	male	epithelial cell of thymus	35	2	0.0571429
LOXL4	C41	C41_TH_TOT_1	organogenesis stage	male	medullary thymic epithelial cell	19	1	0.0526316
LOXL4	C41	C41_TH_TOT_2	organogenesis stage	male	cortical thymic epithelial cell	1774	27	0.0152198
LOXL4	C41	C41_TH_TOT_2	organogenesis stage	male	epithelial cell of thymus	32	1	0.03125
LOXL4	C41	C41_TH_TOT_2	organogenesis stage	male	medullary thymic epithelial cell	30	1	0.0333333
LOXL4	F21	F21_TH_45N	16th week post-fertilization stage	male	cortical thymic epithelial cell	7	0	0
LOXL4	F21	F21_TH_45N	16th week post-fertilization stage	male	medullary thymic epithelial cell	40	1	0.025
LOXL4	F22	F22_TH_TOT	10th week post-fertilization stage	female	cortical thymic epithelial cell	8	0	0
LOXL4	F22	F22_TH_TOT	10th week post-fertilization stage	female	medullary thymic epithelial cell	9	0	0
LOXL4	F30	F30_TH_45N	15th week post-fertilization stage	male	cortical thymic epithelial cell	7	0	0
LOXL4	F30	F30_TH_45N	15th week post-fertilization stage	male	medullary thymic epithelial cell	13	0	0
LOXL4	F38	F38_TH_45N_1	13th week post-fertilization stage	male	medullary thymic epithelial cell	12	0	0
LOXL4	F38	F38_TH_45N_2	13th week post-fertilization stage	male	medullary thymic epithelial cell	13	0	0
LOXL4	F41	F41_TH_45N	17th week post-fertilization stage	female	medullary thymic epithelial cell	4	0	0
LOXL4	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	7	0	0
LOXL4	F45	F45_TH_45N	12th week post-fertilization stage	female	medullary thymic epithelial cell	4	0	0
LOXL4	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	medullary thymic epithelial cell	9	0	0
LOXL4	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	cortical thymic epithelial cell	3	0	0
LOXL4	F64	F64_TH_TOT_5GEX_1	11th week post-fertilization stage	male	medullary thymic epithelial cell	6	0	0
LOXL4	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	cortical thymic epithelial cell	4	0	0
LOXL4	F64	F64_TH_TOT_5GEX_2	11th week post-fertilization stage	male	medullary thymic epithelial cell	3	0	0
LOXL4	F67	F67_TH_TOT_5GEX_1	12th week post-fertilization stage	female	medullary thymic epithelial cell	1	0	0
LOXL4	F67	F67_TH_TOT_5GEX_2	12th week post-fertilization stage	female	medullary thymic epithelial cell	1	0	0
LOXL4	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	cortical thymic epithelial cell	1	0	0
LOXL4	F67	F67_TH_TOT_5GEX_3	12th week post-fertilization stage	female	medullary thymic epithelial cell	5	0	0
LOXL4	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	cortical thymic epithelial cell	2	0	0
LOXL4	F67	F67_TH_TOT_5GEX_4	12th week post-fertilization stage	female	medullary thymic epithelial cell	3	0	0
LOXL4	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	cortical thymic epithelial cell	16	0	0
LOXL4	F74	F74_TH_TOT_5GEX_1	10th week post-fertilization stage	male	medullary thymic epithelial cell	15	0	0
LOXL4	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	cortical thymic epithelial cell	5	0	0
LOXL4	F74	F74_TH_TOT_5GEX_2	10th week post-fertilization stage	male	medullary thymic epithelial cell	10	0	0
LOXL4	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	cortical thymic epithelial cell	34	0	0
LOXL4	F83	F83_TH_EPCAM_5GEX	17th week post-fertilization stage	female	medullary thymic epithelial cell	450	16	0.0355556
LOXL4	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	cortical thymic epithelial cell	235	0	0
LOXL4	T07	T07_TH_EPCAM_5GEX	3-month-old stage	male	medullary thymic epithelial cell	1809	120	0.066335
LOXL4	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	cortical thymic epithelial cell	30	1	0.0333333
LOXL4	T07	T07_TH_TOT_5GEX_1	3-month-old stage	male	medullary thymic epithelial cell	110	4	0.0363636
LOXL4	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	cortical thymic epithelial cell	18	0	0
LOXL4	T07	T07_TH_TOT_5GEX_2	3-month-old stage	male	medullary thymic epithelial cell	81	4	0.0493827
