dataset	donor_id	sample_id	development_stage	sex	celltypes	target_gene	gene_present	n_cells	n_detected	detection_fraction	mean_value	matrix_used	matrix_semantics	notes
CELLxGENE_Park_TEC	A45	A45_TH_EPCAM_5GEX	15-19 year-old	male	mTEC(IV)	LOX	yes	13	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A45	A45_TH_TOT_5GEX	15-19 year-old	male	TEC(neuro)	LOX	yes	1	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A45	A45_TH_TOT_5GEX	15-19 year-old	male	mTEC(I)	LOX	yes	3	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A45	A45_TH_TOT_5GEX	15-19 year-old	male	mTEC(II)	LOX	yes	2	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	A45	A45_TH_TOT_5GEX	15-19 year-old	male	mTEC(III)	LOX	yes	7	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	TEC(neuro)	LOX	yes	2	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	cTEC	LOX	yes	60	1	0.0166667		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	C34	C34_TH_TOT_5GEX	9th week post-fertilization stage	female	mTEC(I)	LOX	yes	1	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	C40	C40_TH_TOT_1	organogenesis stage	female	Epi_GCM2	LOX	yes	4	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	C40	C40_TH_TOT_1	organogenesis stage	female	TEC(myo)	LOX	yes	1	0	0		X	partial	Detection preview only; no statistical test was run.
CELLxGENE_Park_TEC	C40	C40_TH_TOT_1	organogenesis stage	female	TEC(neuro)	LOX	yes	21	2	0.0952381		X	partial	Detection preview only; no statistical test was run.
