analysis_group	gene	contrast	metric	one_sided_aged_lower_p	two_sided_p	n_permutations	mode	observed_delta	global_bh_fdr	fdr_class
combined_mTEClo_mTEChi	Loxl3	4_vs_52	log2_cpm_plus1	0.391304347826087	0.7786561264822134	252	exact	-0.28024203832803707	0.5590062111801243	not_significant
combined_mTEClo_mTEChi	Loxl3	16_vs_52	log2_cpm_plus1	0.6324110671936759	0.7470355731225297	252	exact	0.39155514817241777	0.753313182980702	not_significant
combined_mTEClo_mTEChi	Loxl3	4+16_vs_52	log2_cpm_plus1	0.5549267643142477	0.9354194407456724	3003	exact	0.05565655492219079	0.6936584553928097	not_significant
combined_mTEClo_mTEChi	Loxl4	4_vs_52	log2_cpm_plus1	0.34782608695652173	0.691699604743083	252	exact	-0.09034365099765296	0.5217391304347826	not_significant
combined_mTEClo_mTEChi	Loxl4	16_vs_52	log2_cpm_plus1	0.08695652173913043	0.16996047430830039	252	exact	-0.5757206704513846	0.4066007228457295	not_significant
combined_mTEClo_mTEChi	Loxl4	4+16_vs_52	log2_cpm_plus1	0.15912117177097204	0.31990679094540614	3003	exact	-0.33303216072452013	0.4066007228457295	not_significant
cTEC	Lox	4_vs_52	log2_cpm_plus1	0.043478260869565216	0.08300395256916997	252	exact	-1.7794653271295595	0.37267080745341613	not_significant
cTEC	Lox	16_vs_52	log2_cpm_plus1	0.5335968379446641	0.9446640316205533	252	exact	0.08837389405222051	0.6811874526953158	not_significant
cTEC	Lox	4+16_vs_52	log2_cpm_plus1	0.18475366178428762	0.3715046604527297	3003	exact	-0.8455457165386693	0.4066007228457295	not_significant
cTEC	Loxl1	4_vs_52	log2_cpm_plus1	0.07905138339920949	0.1541501976284585	252	exact	-0.5650858856455656	0.4066007228457295	not_significant
cTEC	Loxl1	16_vs_52	log2_cpm_plus1	0.5731225296442688	0.8656126482213439	252	exact	0.05745737573786425	0.7017826893603291	not_significant
cTEC	Loxl1	4+16_vs_52	log2_cpm_plus1	0.2333555259653795	0.46238348868175766	3003	exact	-0.25381425495385024	0.4490981721341242	not_significant
cTEC	Loxl2	4_vs_52	log2_cpm_plus1	0.007905138339920948	0.011857707509881422	252	exact	-2.8467460246264427	0.3195739014647137	not_significant
cTEC	Loxl2	16_vs_52	log2_cpm_plus1	0.1857707509881423	0.3675889328063241	252	exact	-0.7335828614015161	0.4066007228457295	not_significant
cTEC	Loxl2	4+16_vs_52	log2_cpm_plus1	0.015645805592543277	0.02563249001331558	3003	exact	-1.790164443013979	0.3195739014647137	not_significant
cTEC	Loxl3	4_vs_52	log2_cpm_plus1	0.691699604743083	0.6363636363636364	252	exact	0.5348379501338898	0.7830561563129242	not_significant
cTEC	Loxl3	16_vs_52	log2_cpm_plus1	0.7509881422924901	0.525691699604743	252	exact	1.3095418287695515	0.7905138339920948	not_significant
cTEC	Loxl3	4+16_vs_52	log2_cpm_plus1	0.7376830892143809	0.5226364846870839	3003	exact	0.9221898894517206	0.7903747384439795	not_significant
cTEC	Loxl4	4_vs_52	log2_cpm_plus1	0.06719367588932806	0.13043478260869565	252	exact	-0.4541117660933889	0.4066007228457295	not_significant
cTEC	Loxl4	16_vs_52	log2_cpm_plus1	0.043478260869565216	0.08300395256916997	252	exact	-0.8200561957553214	0.37267080745341613	not_significant
cTEC	Loxl4	4+16_vs_52	log2_cpm_plus1	0.02663115845539281	0.06790945406125166	3003	exact	-0.6370839809243547	0.3195739014647137	not_significant
