gene	development_stage	cell_type_level_2	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOXL1	12th week post-fertilization stage	mTEC	1	2	2	2	0	0	not_generated	not_generated
LOXL1	12th week post-fertilization stage	mcTEC	2	3	3	10	0	0.166667	not_generated	not_generated
LOXL1	13th week post-fertilization stage	cTEC	2	2	2	2	0	0	not_generated	not_generated
LOXL1	13th week post-fertilization stage	mTEC	2	2	2	8	0	0	not_generated	not_generated
LOXL1	13th week post-fertilization stage	mTEC-mimetic	2	2	2	4	0	0	not_generated	not_generated
LOXL1	13th week post-fertilization stage	mcTEC	1	1	1	2	0	0	not_generated	not_generated
LOXL1	14th week post-fertilization stage	cTEC	1	1	1	1	0	0	not_generated	not_generated
LOXL1	14th week post-fertilization stage	mTEC	1	2	2	19	0	0	not_generated	not_generated
LOXL1	14th week post-fertilization stage	mTEC-mimetic	1	2	2	4	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	cTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	mTEC	1	1	1	9	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	mTEC-mimetic	1	1	1	3	0	0	not_generated	not_generated
LOXL1	15th week post-fertilization stage	mcTEC	1	1	1	5	0	0	not_generated	not_generated
LOXL1	17th week post-fertilization stage	cTEC	1	1	1	7	0	0	not_generated	not_generated
LOXL1	17th week post-fertilization stage	mTEC	1	1	1	22	0.0909091	0.0909091	not_generated	not_generated
LOXL1	17th week post-fertilization stage	mTEC-mimetic	1	1	1	11	0.0909091	0.0909091	not_generated	not_generated
LOXL1	17th week post-fertilization stage	mcTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL1	18th week post-fertilization stage	cTEC	1	1	1	87	0.045977	0.045977	not_generated	not_generated
LOXL1	18th week post-fertilization stage	mTEC	1	1	1	175	0.108571	0.108571	not_generated	not_generated
LOXL1	18th week post-fertilization stage	mTEC-mimetic	1	1	1	8	0.125	0.125	not_generated	not_generated
LOXL1	18th week post-fertilization stage	mcTEC	1	1	1	164	0.0853659	0.0853659	not_generated	not_generated
LOXL1	2-year-old stage	mTEC	1	1	1	3	0	0	not_generated	not_generated
LOXL1	2-year-old stage	mTEC-mimetic	1	1	1	1	0	0	not_generated	not_generated
LOXL1	2-year-old stage	mcTEC	1	1	1	4	0	0	not_generated	not_generated
LOXL1	20th week post-fertilization stage	cTEC	1	1	1	3157	0.0338929	0.0338929	not_generated	not_generated
LOXL1	20th week post-fertilization stage	mTEC	1	1	1	974	0.0492813	0.0492813	not_generated	not_generated
