gene	development_stage	cell_type_level_4_explore	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label
LOX	20th week post-fertilization stage	TEC-myo	1	1	1	101	0.039604	0.039604	not_generated	not_generated
LOX	20th week post-fertilization stage	TEC-neuro	1	1	1	29	0	0	not_generated	not_generated
LOX	20th week post-fertilization stage	TEC-tuft	1	1	1	16	0	0	not_generated	not_generated
LOX	20th week post-fertilization stage	cTECI	1	1	1	2907	0.00206398	0.00206398	not_generated	not_generated
LOX	20th week post-fertilization stage	cTECII	1	1	1	250	0.016	0.016	not_generated	not_generated
LOX	20th week post-fertilization stage	mTECI	1	1	1	743	0.00538358	0.00538358	not_generated	not_generated
LOX	20th week post-fertilization stage	mTECI-trans	1	1	1	114	0	0	not_generated	not_generated
LOX	20th week post-fertilization stage	mTECII	1	1	1	80	0.025	0.025	not_generated	not_generated
LOX	20th week post-fertilization stage	mTECIII	1	1	1	37	0.027027	0.027027	not_generated	not_generated
LOX	20th week post-fertilization stage	mcTEC	1	1	1	2051	0.0043881	0.0043881	not_generated	not_generated
LOX	20th week post-fertilization stage	mcTEC-Prolif	1	1	1	381	0.00787402	0.00787402	not_generated	not_generated
LOX	24th week post-fertilization stage	TEC-cilliated	1	2	2	140	0.00641025	0.00641025	not_generated	not_generated
LOX	24th week post-fertilization stage	TEC-myo	1	2	2	431	0	0	not_generated	not_generated
LOX	24th week post-fertilization stage	TEC-neuro	1	2	2	355	0	0	not_generated	not_generated
LOX	24th week post-fertilization stage	TEC-tuft	1	2	2	49	0	0	not_generated	not_generated
LOX	24th week post-fertilization stage	cTECI	1	2	2	401	0.00290698	0.00290698	not_generated	not_generated
LOX	24th week post-fertilization stage	cTECII	1	2	2	28	0	0	not_generated	not_generated
LOX	24th week post-fertilization stage	mTECI	1	2	2	115	0	0	not_generated	not_generated
LOX	24th week post-fertilization stage	mTECI-trans	1	2	2	286	0	0	not_generated	not_generated
LOX	24th week post-fertilization stage	mTECII	1	2	2	103	0.00943395	0.00943395	not_generated	not_generated
LOX	24th week post-fertilization stage	mTECIII	1	2	2	202	0.00515465	0.00515465	not_generated	not_generated
LOX	24th week post-fertilization stage	mcTEC	1	2	2	483	0.0165689	0.0165689	not_generated	not_generated
LOX	24th week post-fertilization stage	mcTEC-Prolif	1	2	2	57	0	0	not_generated	not_generated
LOX	3-month-old stage	TEC-cilliated	1	1	1	3	0	0	not_generated	not_generated
LOX	3-month-old stage	TEC-myo	1	2	2	16	0	0	not_generated	not_generated
LOX	3-month-old stage	TEC-neuro	1	1	1	8	0	0	not_generated	not_generated
LOX	3-month-old stage	cTECI	1	3	3	83	0	0.009009	not_generated	not_generated
LOX	3-month-old stage	cTECII	1	3	3	132	0	0	not_generated	not_generated
