donor_id	sample	development_stage	sex	cell_type_level_2	n_cells
Z11	TA9260017	2-year-old stage	female	mTEC-mimetic	1
Z11	TA9260017	2-year-old stage	female	mcTEC	4
fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	cTEC	3157
fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTEC	974
fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mTEC-mimetic	131
fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	mcTEC	2432
fetal_19w_donor	baut1	20th week post-fertilization stage	unknown	see_lv4_explore	16
fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	cTEC	186
fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTEC	339
fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mTEC-mimetic	468
fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	mcTEC	277
fetal_23w_donor	baut2	24th week post-fertilization stage	unknown	see_lv4_explore	23
fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	cTEC	243
fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTEC	367
fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mTEC-mimetic	458
fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	mcTEC	263
fetal_23w_donor	baut3	24th week post-fertilization stage	unknown	see_lv4_explore	26
postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	cTEC	42
postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mTEC	55
postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mTEC-mimetic	1
postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mcTEC	2
postnatal_10m_donor	baut5	10-month-old stage	unknown	cTEC	48
postnatal_10m_donor	baut5	10-month-old stage	unknown	mTEC	134
postnatal_10m_donor	baut5	10-month-old stage	unknown	mTEC-mimetic	26
postnatal_10m_donor	baut5	10-month-old stage	unknown	mcTEC	8
postnatal_10m_donor	baut6	10-month-old stage	unknown	cTEC	227
postnatal_10m_donor	baut6	10-month-old stage	unknown	mTEC	511
postnatal_10m_donor	baut6	10-month-old stage	unknown	mTEC-mimetic	76
postnatal_10m_donor	baut6	10-month-old stage	unknown	mcTEC	216
