sample_id	age_group	n_mTEC1_cells	Loxl2_raw_count_sum	Loxl2_detecting_cells	Loxl2_detection_rate	Loxl2_mean_raw_all_cells	Loxl2_mean_raw_positive_cells	raw_library_sum	Loxl2_CPM	Loxl2_log2CPM1	median_total_counts	mean_total_counts	median_n_genes_by_counts	mean_n_genes_by_counts	median_mito_frac	mean_mito_frac	median_raw_library_size	mean_raw_library_size	young_mean_detection_rate	aged_mean_detection_rate	aged_minus_young_detection_rate	young_mean_log2CPM1	aged_mean_log2CPM1	aged_minus_young_log2CPM1
mo02_CD45neg1_d0	02mo	300	27.0	26	0.08666666666666667	0.09	1.0384615384615385	2732240.0	9.882001581120253	3.443872038016784	8038.5	9107.466796875	2819.5	2847.51	0.022638734430074692	0.025841908529400826	8038.5	9107.466666666667	0.08992831541218638	0.0063232670744138636	-0.08360504833777252	3.4637753815681718	0.9498291083745836	-2.5139462731935884
mo02_CD45neg2_d0	02mo	279	28.0	26	0.0931899641577061	0.1003584229390681	1.0769230769230769	2748753.0	10.18643726809939	3.4836787251195593	9032.0	9852.1611328125	3006.0	3061.0609318996417	0.022113878279924393	0.02499278262257576	9032.0	9852.161290322581	0.08992831541218638	0.0063232670744138636	-0.08360504833777252	3.4637753815681718	0.9498291083745836	-2.5139462731935884
mo18_CD45neg1_d0	18mo	288	1.0	1	0.003472222222222222	0.003472222222222222	1.0	1923594.0	0.5198602199840507	0.6039386465578267	5637.0	6679.14599609375	2314.5	2450.0763888888887	0.02859320119023323	0.033942993730306625	5637.0	6679.145833333333	0.08992831541218638	0.0063232670744138636	-0.08360504833777252	3.4637753815681718	0.9498291083745836	-2.5139462731935884
mo18_CD45neg2_d0	18mo	763	7.0	7	0.009174311926605505	0.009174311926605505	1.0	4811016.0	1.4549941218237479	1.2957195701913404	5457.0	6305.39453125	2175.0	2317.5740498034074	0.02922028675675392	0.034130971878767014	5457.0	6305.394495412844	0.08992831541218638	0.0063232670744138636	-0.08360504833777252	3.4637753815681718	0.9498291083745836	-2.5139462731935884
