gene	donor_id	sample	development_stage	sex	cell_type_level_4_explore	n_cells	n_detected	detection_fraction	matrix_used
LOX	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTECI	3	0	0	X
LOX	F45	FCAImmP7579231	13th week post-fertilization stage	female	mTECII	1	0	0	X
LOX	F45	FCAImmP7579231	13th week post-fertilization stage	female	mcTEC	2	0	0	X
LOX	F64	FCAImmP7851890	12th week post-fertilization stage	male	cTECI	1	0	0	X
LOX	F64	FCAImmP7851890	12th week post-fertilization stage	male	cTECII	1	0	0	X
LOX	F64	FCAImmP7851890	12th week post-fertilization stage	male	mTECI	1	0	0	X
LOX	F64	FCAImmP7851890	12th week post-fertilization stage	male	mcTEC	4	0	0	X
LOX	F64	FCAImmP7851890	12th week post-fertilization stage	male	mcTEC-Prolif	1	0	0	X
LOX	F64	FCAImmP7851891	12th week post-fertilization stage	male	cTECI	3	0	0	X
LOX	F64	FCAImmP7851891	12th week post-fertilization stage	male	mTECI-trans	1	0	0	X
LOX	F64	FCAImmP7851891	12th week post-fertilization stage	male	mcTEC	3	0	0	X
LOX	F67	FCAImmP7851895	13th week post-fertilization stage	female	TEC-neuro	1	0	0	X
LOX	F67	FCAImmP7851895	13th week post-fertilization stage	female	cTECI	1	0	0	X
LOX	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTECI	3	1	0.333333	X
LOX	F67	FCAImmP7851895	13th week post-fertilization stage	female	mTECI-trans	1	0	0	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	TEC-myo	5	0	0	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	TEC-neuro	3	0	0	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	cTECI	44	2	0.0454545	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	cTECII	43	0	0	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTECI	137	16	0.116788	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTECI-trans	7	1	0.142857	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTECII	19	0	0	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mTECIII	12	0	0	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mcTEC	153	11	0.0718954	X
LOX	F83	F83_TH_EPCAM	18th week post-fertilization stage	female	mcTEC-Prolif	11	2	0.181818	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	TEC-cilliated	3	0	0	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	TEC-myo	14	0	0	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	TEC-neuro	8	0	0	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	cTECI	74	2	0.027027	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	cTECII	110	0	0	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	cTECIII	200	0	0	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTECI	738	12	0.0162602	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTECI-trans	30	0	0	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTECII	259	9	0.034749	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mTECIII	124	0	0	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mcTEC	237	18	0.0759494	X
LOX	T07	T07_TH_EPCAM_S3	3-month-old stage	male	mcTEC-Prolif	14	0	0	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	TEC-myo	2	0	0	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	cTECI	5	0	0	X
LOX	T07	T07_TH_TOT_1_S1	3-month-old stage	male	cTECII	15	0	0	X
