match_window	n_matched	young_detection_min	young_detection_max	young_log2CPM_window	loxl2_young_mean_detection	loxl2_aged_mean_detection	loxl2_detection_delta	loxl2_detection_ratio	loxl2_young_mean_log2CPM	loxl2_aged_mean_log2CPM	loxl2_log2CPM_delta	loxl2_all_young_above_all_aged_detection	loxl2_all_young_above_all_aged_log2CPM	fraction_detection_delta_le_loxl2	fraction_detection_ratio_le_loxl2	fraction_log2CPM_delta_le_loxl2	fraction_all_young_above_all_aged_detection	fraction_all_young_above_all_aged_log2CPM	fraction_detection_delta_le_loxl2_and_ordered	fraction_log2CPM_delta_le_loxl2_and_ordered	empirical_p_detection_delta_le_loxl2	empirical_p_detection_ratio_le_loxl2	empirical_p_log2CPM_delta_le_loxl2	empirical_p_detection_delta_le_loxl2_and_ordered	empirical_p_log2CPM_delta_le_loxl2_and_ordered
strict	2453	0.05	0.15	0.5	0.08992831541218638	0.0063232670744138636	-0.08360504833777252	0.07031452824876318	3.4637753815681718	0.9498291083745836	-2.5139462731935884	True	True	0.008560945780676722	0.004891969017529555	0.006930289441500204	0.49571952710966166	0.2229922543823889	0.008560945780676722	0.006930289441500204	0.008964955175224124	0.005297473512632437	0.007334963325183374	0.008964955175224124	0.007334963325183374
medium	4937	0.03	0.2	1.0	0.08992831541218638	0.0063232670744138636	-0.08360504833777252	0.07031452824876318	3.4637753815681718	0.9498291083745836	-2.5139462731935884	True	True	0.023698602390115453	0.0048612517723313755	0.005063803929511849	0.505570184322463	0.23070690702855987	0.023698602390115453	0.005063803929511849	0.02389631429728635	0.005062778452814905	0.005265289590927501	0.02389631429728635	0.005265289590927501
broad	7228	0.01	0.3	1.5	0.08992831541218638	0.0063232670744138636	-0.08360504833777252	0.07031452824876318	3.4637753815681718	0.9498291083745836	-2.5139462731935884	True	True	0.05838406198118428	0.006087437742114001	0.005534034311012728	0.5214443829551744	0.246956281128943	0.05838406198118428	0.005534034311012728	0.05851431733296445	0.006224927375847282	0.00567160049799419	0.05851431733296445	0.00567160049799419
