gene,annotation_level,cell_type_or_subtype,age_comparison,n_young_samples,n_aged_samples,young_cell_count,aged_cell_count,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance_label,direction,status,gene_present
Loxl4,cell_type,TEC,18mo_vs_02mo,2,3,2383,3785,2.76281397468476,-0.6426503763516245,0.7763605748195773,-0.8277730698792549,0.4077990286584847,0.7346065906486033,not_significant,down_in_aged,ok,True
Lox,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,4.4174530667947725,-0.1060411111363069,1.4276222132643759,-0.07427813195329538,0.9407890771293224,0.9996518015907346,not_significant,down_in_aged,ok,True
Loxl1,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,0.9357210403929952,-3.306236252562489,4.053942582336873,-0.8155607005801812,0.4147514341147389,0.9996518015907346,not_significant,down_in_aged,ok,True
Loxl2,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,1.4528672150290955,-0.3212957006025501,1.7573809569717933,-0.18282643801727905,0.8549342036926232,0.9996518015907346,not_significant,down_in_aged,ok,True
Loxl3,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,0.9357210403929952,-3.306236252562489,4.053942582336873,-0.8155607005801812,0.4147514341147389,0.9996518015907346,not_significant,down_in_aged,ok,True
Loxl4,subtype,0:arEC,18mo_vs_02mo,3,1,205,117,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Loxl1,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Loxl2,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Loxl3,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Loxl4,subtype,10:aaTEC1,18mo_vs_02mo,0,2,0,726,,,,,,,skipped_missing_stage,not_tested,skipped_missing_stage,True
Lox,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,13.840278873166834,1.0735265571622967,1.9772084589031609,0.5429506192573271,0.5871638023500646,0.9997613420850405,not_significant,up_in_aged,ok,True
Loxl1,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,10.746251851024379,-2.3121470258463592,1.895478118722368,-1.2198225888277958,0.22253213632186086,0.9997613420850405,not_significant,down_in_aged,ok,True
Loxl2,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,2.0737059406507465,-0.15067377707427806,2.4552444253244285,-0.06136813733091706,0.9510660272417277,0.9997613420850405,not_significant,down_in_aged,ok,True
Loxl3,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,2.7290615510583955,-1.3880970612132608,2.1491995334539404,-0.6458670028568612,0.5183654908777109,0.9997613420850405,not_significant,down_in_aged,ok,True
Loxl4,subtype,11:aaTEC2,18mo_vs_02mo,1,3,10,257,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,12:cTEC,18mo_vs_02mo,2,2,48,326,3.436383107756189,1.281949017491939,1.4171632108124739,0.9045881290955787,0.36568362655531605,,padj_NA,up_in_aged,ok,True
Loxl1,subtype,12:cTEC,18mo_vs_02mo,2,2,48,326,1.7572997186738395,-0.3178218765183014,2.0352441680021975,-0.15615908966356423,0.8759076227798709,,padj_NA,down_in_aged,ok,True
Loxl2,subtype,12:cTEC,18mo_vs_02mo,2,2,48,326,1.8467468749056808,-2.6629516725080804,1.769737781054395,-1.5047153883562996,0.13239726506229604,,padj_NA,down_in_aged,ok,True
Loxl3,subtype,12:cTEC,18mo_vs_02mo,2,2,48,326,0.8807120682360818,-2.33608280238697,3.0055387393360826,-0.7772592553250556,0.4370058286303581,,padj_NA,down_in_aged,ok,True
Loxl4,subtype,12:cTEC,18mo_vs_02mo,2,2,48,326,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,12:early Pr,18mo_vs_02mo,2,2,38,357,7.497926087814621,-0.6694233454593053,0.6972111072424365,-0.9601444074908164,0.3369825413157075,,padj_NA,down_in_aged,ok,True
Loxl1,subtype,12:early Pr,18mo_vs_02mo,2,2,38,357,2.239724312183112,3.193905988434545,2.4455309372948495,1.3060174131215525,0.1915466359917064,,padj_NA,up_in_aged,ok,True
Loxl2,subtype,12:early Pr,18mo_vs_02mo,2,2,38,357,0.7333541954524813,-2.984860165274444,2.591912629984502,-1.1516052395995662,0.24948332732912049,,padj_NA,down_in_aged,ok,True
Loxl3,subtype,12:early Pr,18mo_vs_02mo,2,2,38,357,0.4166428551017686,0.7904542046541909,5.191657562514889,0.15225468843736437,0.8789860615674893,,padj_NA,up_in_aged,ok,True
Loxl4,subtype,12:early Pr,18mo_vs_02mo,2,2,38,357,,,,,,,not_tested_zero_counts,not_tested,not_tested_zero_counts,True
Lox,subtype,13:mTEC1,18mo_vs_02mo,2,2,579,1053,65.88779784015907,0.7946098112468681,0.37975357297020396,2.092435378637542,0.0363995867818083,0.13008776965437363,nominal_p<0.05,up_in_aged,ok,True
Loxl1,subtype,13:mTEC1,18mo_vs_02mo,2,2,579,1053,26.98969437661827,0.2601428503247021,0.5508047957219814,0.47229590654473735,0.6367155917731782,0.8118395017644121,not_significant,up_in_aged,ok,True
Loxl2,subtype,13:mTEC1,18mo_vs_02mo,2,2,579,1053,16.420571500695427,-3.2911494397505088,0.8376252476109218,-3.929143073394145,8.524910941339315e-05,0.0009563256575355982,FDR<0.05,down_in_aged,ok,True
Loxl3,subtype,13:mTEC1,18mo_vs_02mo,2,2,579,1053,3.38778869046636,0.10175284477069459,1.632631543208403,0.0623244388447455,0.9503044669211171,,padj_NA,up_in_aged,ok,True
Loxl4,subtype,13:mTEC1,18mo_vs_02mo,2,2,579,1053,2.300275413262843,0.7967897534622436,1.834702682522448,0.4342882152255722,0.6640791605220585,,padj_NA,up_in_aged,ok,True
Lox,subtype,14:mTEC-prol,18mo_vs_02mo,2,2,242,143,2.561223606205246,-2.0532515476383195,2.2497685446935476,-0.9126501268236034,0.36142658180886866,,padj_NA,down_in_aged,ok,True
Loxl1,subtype,14:mTEC-prol,18mo_vs_02mo,2,2,242,143,5.563459545950272,-1.1639305604741115,1.4881550769558327,-0.782129885855072,0.4341382446713832,,padj_NA,down_in_aged,ok,True
Loxl2,subtype,14:mTEC-prol,18mo_vs_02mo,2,2,242,143,23.316375186992936,-0.057592538021140435,0.663881509546217,-0.08675123074373114,0.930869253632605,,padj_NA,down_in_aged,ok,True
Loxl3,subtype,14:mTEC-prol,18mo_vs_02mo,2,2,242,143,0.8564886531302481,-1.063437312302589,3.3151350333338128,-0.3207825025556079,0.7483752201639182,,padj_NA,down_in_aged,ok,True
Loxl4,subtype,14:mTEC-prol,18mo_vs_02mo,2,2,242,143,1.1647138798697738,-1.6099031508886557,3.0096999737815313,-0.5349048625819989,0.592715645712051,,padj_NA,down_in_aged,ok,True
Lox,subtype,15:mTEC2,18mo_vs_02mo,2,2,928,452,8.567924197300554,0.5167151621531384,1.239813846864685,0.4167683426506635,0.6768478600665025,,padj_NA,up_in_aged,ok,True
Loxl1,subtype,15:mTEC2,18mo_vs_02mo,2,2,928,452,23.78133334805195,-1.3665067871775627,0.7617897905734698,-1.7938108439978782,0.07284336552502273,,padj_NA,down_in_aged,ok,True
Loxl2,subtype,15:mTEC2,18mo_vs_02mo,2,2,928,452,50.16288399756499,-0.30658253476282915,0.5033546799194919,-0.6090785424143964,0.5424723796205508,,padj_NA,down_in_aged,ok,True
Loxl3,subtype,15:mTEC2,18mo_vs_02mo,2,2,928,452,38.26257810539529,-0.2508356621997876,0.6227469449453608,-0.4027890690363735,0.6871034032192801,,padj_NA,down_in_aged,ok,True
