analysis_group	gene	biological_mouse_id	age_week	n_cells	summed_raw_counts	total_counts_all_features	detection_rate	mean_logcounts	SortDay	PlateID	run_fields	cpm	log2_cpm_plus1
mTEClo	Loxl1	wk4_mouse1	4	5	1010	5472738	0.8		1	B002297	ERR3818228;ERR3818342;ERR3818367;ERR3818443;ERR3818453	184.551133271865	7.535673002239465
mTEClo	Loxl1	wk4_mouse2	4	33	6166	30574563	0.7575757575757576		2	B002283;B002294;B002295;B002296	ERR3817114;ERR3817181;ERR3817185;ERR3817245;ERR3817277;ERR3817297;ERR3817305;ERR3817309;ERR3817313;ERR3817317;ERR3817345;ERR3817369	201.67091186225622	7.662995232089936
mTEClo	Loxl1	wk4_mouse3	4	28	8185	38915511	0.7857142857142857		3	B002290;B002292;B002298	ERR3817123;ERR3817126;ERR3817128;ERR3817144;ERR3817163;ERR3817167;ERR3817179;ERR3817187;ERR3817188;ERR3817195;ERR3817235;ERR3817247	210.32744501286388	7.723336331457256
mTEClo	Loxl1	wk4_mouse4	4	37	16184	58292556	0.8108108108108109		4	B001629;B001632;B002301	ERR3817130;ERR3817133;ERR3817145;ERR3817146;ERR3817149;ERR3817153;ERR3817196;ERR3817201;ERR3817204;ERR3817205;ERR3817212;ERR3817217	277.63407732541356	8.122227902063841
mTEClo	Loxl1	wk4_mouse5	4	29	18335	41474941	0.8620689655172413		5	B002336;B002337;B002450	ERR3818090;ERR3818221;ERR3818236;ERR3818246;ERR3818307;ERR3818313;ERR3818345;ERR3818355;ERR3818395;ERR3818425;ERR3818427;ERR3818428	442.0741671458918	8.791404404621714
mTEClo	Loxl1	wk52_mouse1	52	19	4433	21019699	0.8947368421052632		1	B002229;B002285;B002297	ERR3825647;ERR3825778;ERR3825865;ERR3827444;ERR3827558;ERR3827568;ERR3827580;ERR3827608;ERR3827618;ERR3827625;ERR3827630;ERR3827640	210.89740628540875	7.727222118390519
mTEClo	Loxl1	wk52_mouse2	52	31	3434	20444490	0.6774193548387096		2	B002284;B002294	ERR3825630;ERR3825633;ERR3825636;ERR3825642;ERR3825645;ERR3825648;ERR3825769;ERR3825779;ERR3825782;ERR3825785;ERR3825790;ERR3825829	167.96701703001642	7.400597844499659
mTEClo	Loxl1	wk52_mouse3	52	25	3700	21671440	0.76		3	B002290;B002291	ERR3825619;ERR3825621;ERR3825625;ERR3825634;ERR3825637;ERR3825643;ERR3825646;ERR3825649;ERR3825765;ERR3825766;ERR3825770;ERR3825777	170.73161728062374	7.424011866241909
mTEClo	Loxl1	wk52_mouse5	52	61	19470	74975446	0.8852459016393442		5	B002336;B002345;B002450	ERR3827442;ERR3827535;ERR3827537;ERR3827544;ERR3827555;ERR3827561;ERR3827571;ERR3827584;ERR3827587;ERR3827591;ERR3827593;ERR3827595	259.6850174122339	8.026163857702985
mTEClo	Loxl2	wk16_mouse1	16	4	0	7440721	0.0		1	B002285	ERR3819869;ERR3820043;ERR3820050;ERR3821306	0.0	0.0
mTEClo	Loxl2	wk16_mouse2	16	34	251	41916479	0.14705882352941177		2	B002283;B002288;B002295	ERR3819868;ERR3819876;ERR3819883;ERR3819905;ERR3819908;ERR3819917;ERR3819951;ERR3819955;ERR3819959;ERR3819970;ERR3819974;ERR3819997	5.988098380114417	2.804899919002255
mTEClo	Loxl2	wk16_mouse3	16	13	327	16476792	0.23076923076923078		3	B002292;B002293	ERR3819870;ERR3819893;ERR3819896;ERR3819953;ERR3819972;ERR3819976;ERR3821238;ERR3821313;ERR3821315;ERR3821319;ERR3821385;ERR3821387	19.846096254659283	4.381705337485773
mTEClo	Loxl2	wk16_mouse4	16	21	71	38185280	0.14285714285714285		4	B001629;B001632	ERR3819844;ERR3819852;ERR3819864;ERR3819927;ERR3819931;ERR3819938;ERR3819939;ERR3819942;ERR3819943;ERR3820001;ERR3820002;ERR3820010	1.8593552279831391	1.515689862296529
mTEClo	Loxl2	wk16_mouse5	16	21	53	19150071	0.09523809523809523		5	B002337;B002449;B002450;B002451	ERR3821225;ERR3821226;ERR3821227;ERR3821230;ERR3821231;ERR3821232;ERR3821253;ERR3821264;ERR3821295;ERR3821296;ERR3821297;ERR3821308	2.7676137597609953	1.9136510733799081
mTEClo	Loxl2	wk1_mouse1	1	5	1055	8623023	0.4		1	B002229	ERR3814494;ERR3814583;ERR3814651;ERR3814663;ERR3814675	122.34688461343544	6.946577467557014
mTEClo	Loxl2	wk1_mouse2	1	27	1439	58758319	0.3333333333333333		2	B002284;B002288;B002295	ERR3814487;ERR3814499;ERR3814507;ERR3814511;ERR3814517;ERR3814564;ERR3814572;ERR3814580;ERR3814592;ERR3814602;ERR3814612;ERR3814648	24.49014921614759	4.671867913628648
mTEClo	Loxl2	wk1_mouse3	1	21	540	51078120	0.5238095238095238		3	B002291;B002293;B002298	ERR3814496;ERR3814565;ERR3814573;ERR3814585;ERR3814589;ERR3814665;ERR3814677;ERR3814734;ERR3814746;ERR3814750;ERR3814754;ERR3814758	10.572041414210233	3.5325714864172544
mTEClo	Loxl2	wk1_mouse4	1	11	131	20911616	0.09090909090909091		4	B001629;B001632	ERR3814518;ERR3814542;ERR3814620;ERR3814639;ERR3814688;ERR3814708;ERR3814712;ERR3814728;ERR3814797;ERR3814809;ERR3814813	6.2644608623264695	2.8608557310845195
mTEClo	Loxl2	wk1_mouse5	1	28	559	39090157	0.42857142857142855		5	B002337;B002345;B002449	ERR3814480;ERR3815685;ERR3815812;ERR3815814;ERR3815816;ERR3815820;ERR3815837;ERR3815841;ERR3815890;ERR3815894;ERR3815896;ERR3815898	14.300275130642222	3.935485690684002
mTEClo	Loxl2	wk32_mouse1	32	15	0	25288015	0.0		1	B002229;B002287;B002297	ERR3823390;ERR3823393;ERR3823414;ERR3823420;ERR3823442;ERR3823453;ERR3823456;ERR3824411;ERR3824426;ERR3824436;ERR3824480;ERR3824555	0.0	0.0
mTEClo	Loxl2	wk32_mouse2	32	27	74	22785500	0.1111111111111111		2	B002284;B002294	ERR3823339;ERR3823342;ERR3823345;ERR3823355;ERR3823391;ERR3823397;ERR3823460;ERR3823470;ERR3823473;ERR3823507;ERR3823510;ERR3824391	3.247679445261241	2.086674896042826
mTEClo	Loxl2	wk32_mouse3	32	38	15	27429291	0.02631578947368421		3	B002290;B002291;B002293	ERR3823343;ERR3823346;ERR3823350;ERR3823353;ERR3823356;ERR3823359;ERR3823360;ERR3823362;ERR3823364;ERR3823365;ERR3823395;ERR3823398	0.5468606534525446	0.6293432396908587
mTEClo	Loxl2	wk32_mouse4	32	11	18	26751892	0.18181818181818182		4	B002301	ERR3824418;ERR3824423;ERR3824433;ERR3824438;ERR3824443;ERR3824470;ERR3824489;ERR3824494;ERR3824564;ERR3824621;ERR3824665	0.6728496063007432	0.7423077490242023
mTEClo	Loxl2	wk32_mouse5	32	38	5	30691615	0.02631578947368421		5	B002336;B002345;B002449	ERR3824374;ERR3824389;ERR3824395;ERR3824396;ERR3824400;ERR3824402;ERR3824408;ERR3824419;ERR3824429;ERR3824434;ERR3824444;ERR3824454	0.16291094489488414	0.21774062021798304
mTEClo	Loxl2	wk4_mouse1	4	5	17	5472738	0.2		1	B002297	ERR3818228;ERR3818342;ERR3818367;ERR3818443;ERR3818453	3.106306203585847	2.037841211938388
mTEClo	Loxl2	wk4_mouse2	4	33	830	30574563	0.21212121212121213		2	B002283;B002294;B002295;B002296	ERR3817114;ERR3817181;ERR3817185;ERR3817245;ERR3817277;ERR3817297;ERR3817305;ERR3817309;ERR3817313;ERR3817317;ERR3817345;ERR3817369	27.146749407342305	4.814896413829022
mTEClo	Loxl2	wk4_mouse3	4	28	291	38915511	0.14285714285714285		3	B002290;B002292;B002298	ERR3817123;ERR3817126;ERR3817128;ERR3817144;ERR3817163;ERR3817167;ERR3817179;ERR3817187;ERR3817188;ERR3817195;ERR3817235;ERR3817247	7.477738118355942	3.0836794014974465
mTEClo	Loxl2	wk4_mouse4	4	37	1197	58292556	0.24324324324324326		4	B001629;B001632;B002301	ERR3817130;ERR3817133;ERR3817145;ERR3817146;ERR3817149;ERR3817153;ERR3817196;ERR3817201;ERR3817204;ERR3817205;ERR3817212;ERR3817217	20.534354335054378	4.428568162763417
mTEClo	Loxl2	wk4_mouse5	4	29	202	41474941	0.1724137931034483		5	B002336;B002337;B002450	ERR3818090;ERR3818221;ERR3818236;ERR3818246;ERR3818307;ERR3818313;ERR3818345;ERR3818355;ERR3818395;ERR3818425;ERR3818427;ERR3818428	4.870410786117816	2.5534614604663983
mTEClo	Loxl2	wk52_mouse1	52	19	101	21019699	0.10526315789473684		1	B002229;B002285;B002297	ERR3825647;ERR3825778;ERR3825865;ERR3827444;ERR3827558;ERR3827568;ERR3827580;ERR3827608;ERR3827618;ERR3827625;ERR3827630;ERR3827640	4.805016475259707	2.5373001616199975
