gene	donor_id	sample_id	development_stage	sex	celltypes	n_cells	n_detected	detection_fraction
LOX	C41	C41_TH_TOT_2	organogenesis stage	male	mTEC(IV)	1	0	0
LOX	F21	F21_TH_45N	16th week post-fertilization stage	male	TEC(myo)	4	0	0
LOX	F21	F21_TH_45N	16th week post-fertilization stage	male	TEC(neuro)	19	0	0
LOX	F21	F21_TH_45N	16th week post-fertilization stage	male	cTEC	7	0	0
LOX	F21	F21_TH_45N	16th week post-fertilization stage	male	mTEC(I)	10	0	0
LOX	F21	F21_TH_45N	16th week post-fertilization stage	male	mTEC(II)	3	0	0
LOX	F21	F21_TH_45N	16th week post-fertilization stage	male	mcTEC	4	0	0
LOX	F22	F22_TH_TOT	10th week post-fertilization stage	female	TEC(myo)	2	0	0
LOX	F22	F22_TH_TOT	10th week post-fertilization stage	female	cTEC	8	0	0
LOX	F22	F22_TH_TOT	10th week post-fertilization stage	female	mcTEC	7	0	0
LOX	F30	F30_TH_45N	15th week post-fertilization stage	male	TEC(myo)	2	0	0
LOX	F30	F30_TH_45N	15th week post-fertilization stage	male	TEC(neuro)	1	1	1
LOX	F30	F30_TH_45N	15th week post-fertilization stage	male	cTEC	7	0	0
LOX	F30	F30_TH_45N	15th week post-fertilization stage	male	mTEC(I)	7	0	0
LOX	F30	F30_TH_45N	15th week post-fertilization stage	male	mTEC(III)	1	0	0
LOX	F30	F30_TH_45N	15th week post-fertilization stage	male	mcTEC	2	0	0
LOX	F38	F38_TH_45N_1	13th week post-fertilization stage	male	TEC(myo)	1	0	0
LOX	F38	F38_TH_45N_1	13th week post-fertilization stage	male	TEC(neuro)	2	0	0
LOX	F38	F38_TH_45N_1	13th week post-fertilization stage	male	mTEC(I)	9	0	0
LOX	F38	F38_TH_45N_2	13th week post-fertilization stage	male	TEC(myo)	1	0	0
LOX	F38	F38_TH_45N_2	13th week post-fertilization stage	male	TEC(neuro)	1	0	0
LOX	F38	F38_TH_45N_2	13th week post-fertilization stage	male	mTEC(I)	8	0	0
LOX	F38	F38_TH_45N_2	13th week post-fertilization stage	male	mTEC(II)	3	0	0
LOX	F41	F41_TH_45N	17th week post-fertilization stage	female	TEC(myo)	2	0	0
LOX	F41	F41_TH_45N	17th week post-fertilization stage	female	mTEC(I)	1	0	0
LOX	F41	F41_TH_45N	17th week post-fertilization stage	female	mcTEC	1	0	0
LOX	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	TEC(myo)	2	0	0
LOX	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	TEC(neuro)	2	0	0
LOX	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	mTEC(II)	1	0	0
LOX	F41	F41_TH_45N_5GEX	17th week post-fertilization stage	female	mcTEC	2	1	0.5
LOX	F45	F45_TH_45N	12th week post-fertilization stage	female	TEC(neuro)	1	0	0
LOX	F45	F45_TH_45N	12th week post-fertilization stage	female	mTEC(I)	2	0	0
LOX	F45	F45_TH_45N	12th week post-fertilization stage	female	mcTEC	1	0	0
LOX	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	TEC(neuro)	2	0	0
LOX	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	mTEC(I)	4	0	0
LOX	F45	F45_TH_45N_5GEX	12th week post-fertilization stage	female	mTEC(II)	1	0	0
