gene	age_development	cell_type_broad_derived	donor_count	sample_count	donor_sample_group_count	total_cells	median_detection_fraction	mean_detection_fraction	mean_value_summary	value_semantics_label	not_generated_reason
LOXL2	Adult (25 yo)	myoid-like	1	1	1	35	0.0571429	0.0571429	not_generated	not_generated	
LOXL2	Adult (25 yo)	neuroendocrine-like	1	1	1	130	0.0307692	0.0307692	not_generated	not_generated	
LOXL2	Adult (25 yo)	other_epithelial	1	1	1	59	0.0508475	0.0508475	not_generated	not_generated	
LOXL2	Fetal (19 weeks)	TEC-like	1	1	1	1257	0.0278441	0.0278441	not_generated	not_generated	
LOXL2	Fetal (19 weeks)	cTEC-like	1	1	1	5175	0.04657	0.04657	not_generated	not_generated	
LOXL2	Fetal (19 weeks)	mTEC-like	1	1	1	1023	0.056696	0.056696	not_generated	not_generated	
LOXL2	Fetal (19 weeks)	myoid-like	1	1	1	104	0.115385	0.115385	not_generated	not_generated	
LOXL2	Fetal (19 weeks)	neuroendocrine-like	1	1	1	161	0.0372671	0.0372671	not_generated	not_generated	
LOXL2	Fetal (19 weeks)	other_epithelial	1	1	1	19	0.0526316	0.0526316	not_generated	not_generated	
LOXL2	Fetal (23 weeks)	TEC-like	1	1	1	259	0.0617761	0.0617761	not_generated	not_generated	
LOXL2	Fetal (23 weeks)	cTEC-like	1	1	1	594	0.0606061	0.0606061	not_generated	not_generated	
LOXL2	Fetal (23 weeks)	mTEC-like	1	1	1	411	0.0656934	0.0656934	not_generated	not_generated	
LOXL2	Fetal (23 weeks)	myoid-like	1	1	1	364	0.252747	0.252747	not_generated	not_generated	
LOXL2	Fetal (23 weeks)	neuroendocrine-like	1	1	1	722	0.0526316	0.0526316	not_generated	not_generated	
LOXL2	Fetal (23 weeks)	other_epithelial	1	1	1	88	0.0568182	0.0568182	not_generated	not_generated	
LOXL2	Postnatal (10 months)	TEC-like	1	1	1	264	0.0227273	0.0227273	not_generated	not_generated	
LOXL2	Postnatal (10 months)	cTEC-like	1	1	1	198	0.020202	0.020202	not_generated	not_generated	
LOXL2	Postnatal (10 months)	mTEC-like	1	1	1	603	0.0199005	0.0199005	not_generated	not_generated	
LOXL2	Postnatal (10 months)	myoid-like	1	1	1	40	0.225	0.225	not_generated	not_generated	
LOXL2	Postnatal (10 months)	neuroendocrine-like	1	1	1	69	0	0	not_generated	not_generated	
LOXL2	Postnatal (6 days)	TEC-like	1	1	1	12	0	0	not_generated	not_generated	
LOXL2	Postnatal (6 days)	cTEC-like	1	1	1	98	0	0	not_generated	not_generated	
LOXL2	Postnatal (6 days)	mTEC-like	1	1	1	119	0	0	not_generated	not_generated	
LOXL2	Postnatal (6 days)	myoid-like	1	1	1	4	0.5	0.5	not_generated	not_generated	
LOXL2	Postnatal (6 days)	neuroendocrine-like	1	1	1	2	0	0	not_generated	not_generated	
LOXL3	Adult (25 yo)	TEC-like	1	1	1	1515	0	0	not_generated	not_generated	
LOXL3	Adult (25 yo)	cTEC-like	1	1	1	27	0	0	not_generated	not_generated	
LOXL3	Adult (25 yo)	mTEC-like	1	1	1	865	0.00115607	0.00115607	not_generated	not_generated	
LOXL3	Adult (25 yo)	myoid-like	1	1	1	35	0	0	not_generated	not_generated	
LOXL3	Adult (25 yo)	neuroendocrine-like	1	1	1	130	0	0	not_generated	not_generated	
LOXL3	Adult (25 yo)	other_epithelial	1	1	1	59	0	0	not_generated	not_generated	
LOXL3	Fetal (19 weeks)	TEC-like	1	1	1	1257	0.00159109	0.00159109	not_generated	not_generated	
LOXL3	Fetal (19 weeks)	cTEC-like	1	1	1	5175	0.00386473	0.00386473	not_generated	not_generated	
LOXL3	Fetal (19 weeks)	mTEC-like	1	1	1	1023	0.00293255	0.00293255	not_generated	not_generated	
LOXL3	Fetal (19 weeks)	myoid-like	1	1	1	104	0.0192308	0.0192308	not_generated	not_generated	
LOXL3	Fetal (19 weeks)	neuroendocrine-like	1	1	1	161	0	0	not_generated	not_generated	
LOXL3	Fetal (19 weeks)	other_epithelial	1	1	1	19	0.157895	0.157895	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	TEC-like	1	1	1	259	0	0	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	cTEC-like	1	1	1	594	0.003367	0.003367	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	mTEC-like	1	1	1	411	0.00486618	0.00486618	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	myoid-like	1	1	1	364	0.0164835	0.0164835	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	neuroendocrine-like	1	1	1	722	0.0152355	0.0152355	not_generated	not_generated	
LOXL3	Fetal (23 weeks)	other_epithelial	1	1	1	88	0.0340909	0.0340909	not_generated	not_generated	
LOXL3	Postnatal (10 months)	TEC-like	1	1	1	264	0.0151515	0.0151515	not_generated	not_generated	
LOXL3	Postnatal (10 months)	cTEC-like	1	1	1	198	0	0	not_generated	not_generated	
LOXL3	Postnatal (10 months)	mTEC-like	1	1	1	603	0.00165837	0.00165837	not_generated	not_generated	
LOXL3	Postnatal (10 months)	myoid-like	1	1	1	40	0	0	not_generated	not_generated	
LOXL3	Postnatal (10 months)	neuroendocrine-like	1	1	1	69	0.057971	0.057971	not_generated	not_generated	
LOXL3	Postnatal (6 days)	TEC-like	1	1	1	12	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	cTEC-like	1	1	1	98	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	mTEC-like	1	1	1	119	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	myoid-like	1	1	1	4	0	0	not_generated	not_generated	
LOXL3	Postnatal (6 days)	neuroendocrine-like	1	1	1	2	0	0	not_generated	not_generated	
LOXL4	Adult (25 yo)	TEC-like	1	1	1	1515	0.0864686	0.0864686	not_generated	not_generated	
LOXL4	Adult (25 yo)	cTEC-like	1	1	1	27	0.037037	0.037037	not_generated	not_generated	
LOXL4	Adult (25 yo)	mTEC-like	1	1	1	865	0.0578035	0.0578035	not_generated	not_generated	
LOXL4	Adult (25 yo)	myoid-like	1	1	1	35	0.171429	0.171429	not_generated	not_generated	
LOXL4	Adult (25 yo)	neuroendocrine-like	1	1	1	130	0.0153846	0.0153846	not_generated	not_generated	
LOXL4	Adult (25 yo)	other_epithelial	1	1	1	59	0.0169492	0.0169492	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	TEC-like	1	1	1	1257	0.00636436	0.00636436	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	cTEC-like	1	1	1	5175	0.00444444	0.00444444	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	mTEC-like	1	1	1	1023	0.00782014	0.00782014	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	myoid-like	1	1	1	104	0	0	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	neuroendocrine-like	1	1	1	161	0	0	not_generated	not_generated	
LOXL4	Fetal (19 weeks)	other_epithelial	1	1	1	19	0	0	not_generated	not_generated	
LOXL4	Fetal (23 weeks)	TEC-like	1	1	1	259	0.011583	0.011583	not_generated	not_generated	
