analysis_group	gene	contrast	metric	one_sided_aged_lower_p	two_sided_p	n_permutations	mode	observed_delta
mTEChi	Loxl3	4+16_vs_52	log2_cpm_plus1	0.6711051930758988	0.6235019973368842	3003	exact	0.5410192232027207
mTEChi	Loxl3	4+16_vs_52	detection_rate	0.8462050599201065	0.3112516644474035	3003	exact	0.06923660241435176
mTEChi	Loxl4	4_vs_52	log2_cpm_plus1	0.6403162055335968	0.7312252964426877	252	exact	0.1534700354057419
mTEChi	Loxl4	4_vs_52	detection_rate	0.8063241106719368	0.42292490118577075	252	exact	0.04956805910770101
mTEChi	Loxl4	16_vs_52	log2_cpm_plus1	0.16600790513833993	0.32806324110671936	252	exact	-0.507806876030271
mTEChi	Loxl4	16_vs_52	detection_rate	0.49407114624505927	0.9841897233201581	252	exact	-0.0012517760727479565
mTEChi	Loxl4	4+16_vs_52	log2_cpm_plus1	0.33455392809587214	0.6734354194407457	3003	exact	-0.17716842031226498
mTEChi	Loxl4	4+16_vs_52	detection_rate	0.7090545938748336	0.5845539280958721	3003	exact	0.024158141517476528
combined_mTEClo_mTEChi	Lox	4_vs_52	log2_cpm_plus1	0.7272727272727273	0.5573122529644269	252	exact	0.39459343591509155
combined_mTEClo_mTEChi	Lox	4_vs_52	detection_rate	0.8893280632411067	0.233201581027668	252	exact	0.11073767210147195
combined_mTEClo_mTEChi	Lox	16_vs_52	log2_cpm_plus1	0.16996047430830039	0.3359683794466403	252	exact	-0.8539848781216803
combined_mTEClo_mTEChi	Lox	16_vs_52	detection_rate	0.8616600790513834	0.2885375494071146	252	exact	0.09048299955740971
combined_mTEClo_mTEChi	Lox	4+16_vs_52	log2_cpm_plus1	0.42243675099866845	0.8551930758988016	3003	exact	-0.2296957211032944
combined_mTEClo_mTEChi	Lox	4+16_vs_52	detection_rate	0.9250998668442078	0.14980026631158455	3003	exact	0.10061033582944084
combined_mTEClo_mTEChi	Loxl1	4_vs_52	log2_cpm_plus1	0.23715415019762845	0.47035573122529645	252	exact	-0.28220674235142607
combined_mTEClo_mTEChi	Loxl1	4_vs_52	detection_rate	0.849802371541502	0.31225296442687744	252	exact	0.06364434647137807
combined_mTEClo_mTEChi	Loxl1	16_vs_52	log2_cpm_plus1	0.2766798418972332	0.549407114624506	252	exact	-0.22133616284023727
combined_mTEClo_mTEChi	Loxl1	16_vs_52	detection_rate	0.9604743083003953	0.09881422924901186	252	exact	0.10124278826638167
combined_mTEClo_mTEChi	Loxl1	4+16_vs_52	log2_cpm_plus1	0.18375499334221038	0.36051930758988016	3003	exact	-0.25177145259583256
combined_mTEClo_mTEChi	Loxl1	4+16_vs_52	detection_rate	0.9510652463382158	0.10019973368841545	3003	exact	0.08244356736887981
combined_mTEClo_mTEChi	Loxl2	4_vs_52	log2_cpm_plus1	0.05928853754940711	0.11462450592885376	252	exact	-1.3037921440495879
combined_mTEClo_mTEChi	Loxl2	4_vs_52	detection_rate	0.023715415019762844	0.043478260869565216	252	exact	-0.1298101411936286
combined_mTEClo_mTEChi	Loxl2	16_vs_52	log2_cpm_plus1	0.308300395256917	0.6126482213438735	252	exact	-0.47353757183251677
combined_mTEClo_mTEChi	Loxl2	16_vs_52	detection_rate	0.23715415019762845	0.47035573122529645	252	exact	-0.04699863556487874
combined_mTEClo_mTEChi	Loxl2	4+16_vs_52	log2_cpm_plus1	0.12516644474034622	0.2496671105193076	3003	exact	-0.8886648579410523
combined_mTEClo_mTEChi	Loxl2	4+16_vs_52	detection_rate	0.05659121171770972	0.10019973368841545	3003	exact	-0.08840438837925368
combined_mTEClo_mTEChi	Loxl3	4_vs_52	log2_cpm_plus1	0.391304347826087	0.7786561264822134	252	exact	-0.28024203832803707
combined_mTEClo_mTEChi	Loxl3	4_vs_52	detection_rate	0.5968379446640316	0.8181818181818182	252	exact	0.01636733586320044
combined_mTEClo_mTEChi	Loxl3	16_vs_52	log2_cpm_plus1	0.6324110671936759	0.7470355731225297	252	exact	0.39155514817241777
combined_mTEClo_mTEChi	Loxl3	16_vs_52	detection_rate	0.7114624505928854	0.5889328063241107	252	exact	0.04937775473165673
combined_mTEClo_mTEChi	Loxl3	4+16_vs_52	log2_cpm_plus1	0.5549267643142477	0.9354194407456724	3003	exact	0.05565655492219079
combined_mTEClo_mTEChi	Loxl3	4+16_vs_52	detection_rate	0.7300266311584553	0.5539280958721704	3003	exact	0.032872545297428585
combined_mTEClo_mTEChi	Loxl4	4_vs_52	log2_cpm_plus1	0.34782608695652173	0.691699604743083	252	exact	-0.09034365099765296
combined_mTEClo_mTEChi	Loxl4	4_vs_52	detection_rate	0.5217391304347826	0.9683794466403162	252	exact	0.002290142551018004
combined_mTEClo_mTEChi	Loxl4	16_vs_52	log2_cpm_plus1	0.08695652173913043	0.16996047430830039	252	exact	-0.5757206704513846
combined_mTEClo_mTEChi	Loxl4	16_vs_52	detection_rate	0.3359683794466403	0.6679841897233202	252	exact	-0.03856218393423483
combined_mTEClo_mTEChi	Loxl4	4+16_vs_52	log2_cpm_plus1	0.15912117177097204	0.31990679094540614	3003	exact	-0.33303216072452013
combined_mTEClo_mTEChi	Loxl4	4+16_vs_52	detection_rate	0.41211717709720375	0.7776298268974701	3003	exact	-0.018136020691608357
cTEC	Lox	4_vs_52	log2_cpm_plus1	0.043478260869565216	0.08300395256916997	252	exact	-1.7794653271295595
cTEC	Lox	4_vs_52	detection_rate	0.03162055335968379	0.05928853754940711	252	exact	-0.21320462146549107
cTEC	Lox	16_vs_52	log2_cpm_plus1	0.5335968379446641	0.9446640316205533	252	exact	0.08837389405222051
cTEC	Lox	16_vs_52	detection_rate	0.18972332015810275	0.37549407114624506	252	exact	-0.18405116006411104
cTEC	Lox	4+16_vs_52	log2_cpm_plus1	0.18475366178428762	0.3715046604527297	3003	exact	-0.8455457165386693
cTEC	Lox	4+16_vs_52	detection_rate	0.047936085219707054	0.12949400798934754	3003	exact	-0.19862789076480097
cTEC	Loxl1	4_vs_52	log2_cpm_plus1	0.07905138339920949	0.1541501976284585	252	exact	-0.5650858856455656
cTEC	Loxl1	4_vs_52	detection_rate	0.5059288537549407	1.0	252	exact	0.0007139623661363004
cTEC	Loxl1	16_vs_52	log2_cpm_plus1	0.5731225296442688	0.8656126482213439	252	exact	0.05745737573786425
cTEC	Loxl1	16_vs_52	detection_rate	0.7114624505928854	0.5889328063241107	252	exact	0.05687835507076944
cTEC	Loxl1	4+16_vs_52	log2_cpm_plus1	0.2333555259653795	0.46238348868175766	3003	exact	-0.25381425495385024
cTEC	Loxl1	4+16_vs_52	detection_rate	0.651797603195739	0.6621171770972037	3003	exact	0.02879615871845298
cTEC	Loxl2	4_vs_52	log2_cpm_plus1	0.007905138339920948	0.011857707509881422	252	exact	-2.8467460246264427
cTEC	Loxl2	4_vs_52	detection_rate	0.007905138339920948	0.011857707509881422	252	exact	-0.2038371676632546
cTEC	Loxl2	16_vs_52	log2_cpm_plus1	0.1857707509881423	0.3675889328063241	252	exact	-0.7335828614015161
cTEC	Loxl2	16_vs_52	detection_rate	0.16600790513833993	0.32806324110671936	252	exact	-0.04896999454446263
cTEC	Loxl2	4+16_vs_52	log2_cpm_plus1	0.015645805592543277	0.02563249001331558	3003	exact	-1.790164443013979
cTEC	Loxl2	4+16_vs_52	detection_rate	0.013981358189081226	0.0296271637816245	3003	exact	-0.1264035811038586
cTEC	Loxl3	4_vs_52	log2_cpm_plus1	0.691699604743083	0.6363636363636364	252	exact	0.5348379501338898
cTEC	Loxl3	4_vs_52	detection_rate	0.37549407114624506	0.7470355731225297	252	exact	-0.029896017026451838
cTEC	Loxl3	16_vs_52	log2_cpm_plus1	0.7509881422924901	0.525691699604743	252	exact	1.3095418287695515
cTEC	Loxl3	16_vs_52	detection_rate	0.5968379446640316	0.83399209486166	252	exact	0.017828031974192915
cTEC	Loxl3	4+16_vs_52	log2_cpm_plus1	0.7376830892143809	0.5226364846870839	3003	exact	0.9221898894517206
cTEC	Loxl3	4+16_vs_52	detection_rate	0.4737017310252996	0.9444074567243675	3003	exact	-0.006033992526129461
cTEC	Loxl4	4_vs_52	log2_cpm_plus1	0.06719367588932806	0.13043478260869565	252	exact	-0.4541117660933889
cTEC	Loxl4	4_vs_52	detection_rate	0.3794466403162055	0.7549407114624506	252	exact	-0.05191574608965921
cTEC	Loxl4	16_vs_52	log2_cpm_plus1	0.043478260869565216	0.08300395256916997	252	exact	-0.8200561957553214
cTEC	Loxl4	16_vs_52	detection_rate	0.25691699604743085	0.5098814229249012	252	exact	-0.10250725654240922
cTEC	Loxl4	4+16_vs_52	log2_cpm_plus1	0.02663115845539281	0.06790945406125166	3003	exact	-0.6370839809243547
cTEC	Loxl4	4+16_vs_52	detection_rate	0.27529960053262315	0.53728362183755	3003	exact	-0.07721150131603427
