CellID	ClusterID	Position	PlateID	Column	Row	SortType	SortDay	Age	SubType	sizeFactor	ExportSample	cell_barcode	total_counts_all_features	detected_features_all_features	join_id	Characteristics[individual]	Characteristics[age]	Factor Value[age]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[inferred cell type]	Comment[ENA_RUN]	Assay Name	age_week	individual	biological_mouse_id
E7.B002284.2_52.1.32.1_S43	1	E7	B002284	7	E	mTEClo	2	52wk	Post-Aire mTEC	0.104127892635812	day2	E7.B002284.2_52.1.32.1_S43	134385	4802	E7B0022842521321S43	2	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Post-Aire.mTEC	ERR3825898	E7-B002284-2_52-1-32-1_S43	52	2	wk52_mouse2
E7.B002288.2_16.32.1.1_S79	2	E7	B002288	7	E	mTEClo	2	16wk	Intertypical TEC	0.219590935280804	day2	E7.B002288.2_16.32.1.1_S79	316923	2888	E7B0022882163211S79	2	16	16	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3820165	E7-B002288-2_16-32-1-1_S79	16	2	wk16_mouse2
E7.B002294.2_32.4.52.1_S187	1	E7	B002294	7	E	mTEClo	2	32wk	Post-Aire mTEC	0.0707920402630909	day2	E7.B002294.2_32.4.52.1_S187	113157	3115	E7B0022942324521S187	2	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Post-Aire.mTEC	ERR3824662	E7-B002294-2_32-4-52-1_S187	32	2	wk32_mouse2
E8.B002283.2_4.52.16.1_S260	2	E8	B002283	8	E	mTEClo	2	4wk	Intertypical TEC	0.409568031208266	day2	E8.B002283.2_4.52.16.1_S260	439438	3134	E8B0022832452161S260	2	4	4	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3817389	E8-B002283-2_4-52-16-1_S260	4	2	wk4_mouse2
E8.B002284.2_52.1.32.1_S44	2	E8	B002284	8	E	mTEClo	2	52wk	Intertypical TEC	0.775034745612233	day2	E8.B002284.2_52.1.32.1_S44	855746	4295	E8B0022842521321S44	2	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3825901	E8-B002284-2_52-1-32-1_S44	52	2	wk52_mouse2
E8.B002288.2_16.32.1.1_S80	2	E8	B002288	8	E	mTEClo	2	16wk	Intertypical TEC	0.845651586158583	day2	E8.B002288.2_16.32.1.1_S80	1106570	3529	E8B0022882163211S80	2	16	16	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3820168	E8-B002288-2_16-32-1-1_S80	16	2	wk16_mouse2
E8.B002294.2_32.4.52.1_S188	2	E8	B002294	8	E	mTEClo	2	32wk	Intertypical TEC	0.185801215550368	day2	E8.B002294.2_32.4.52.1_S188	225887	2111	E8B0022942324521S188	2	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824667	E8-B002294-2_32-4-52-1_S188	32	2	wk32_mouse2
F1.B002284.2_52.1.32.1_S61	7	F1	B002284	1	F	mTEChi	2	52wk	Mature mTEC	1.54391278292155	day2	F1.B002284.2_52.1.32.1_S61	2057641	6130	F1B0022842521321S61	2	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3825931	F1-B002284-2_52-1-32-1_S61	52	2	wk52_mouse2
F1.B002288.2_16.32.1.1_S97	1	F1	B002288	1	F	mTEChi	2	16wk	Post-Aire mTEC	0.459932542632738	day2	F1.B002288.2_16.32.1.1_S97	601122	6075	F1B0022882163211S97	2	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Post-Aire.mTEC	ERR3820216	F1-B002288-2_16-32-1-1_S97	16	2	wk16_mouse2
F1.B002294.2_32.4.52.1_S205	7	F1	B002294	1	F	mTEChi	2	32wk	Mature mTEC	0.265135646751211	day2	F1.B002294.2_32.4.52.1_S205	358638	2585	F1B0022942324521S205	2	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3824767	F1-B002294-2_32-4-52-1_S205	32	2	wk32_mouse2
F10.B002284.2_52.1.32.1_S70	7	F10	B002284	10	F	mTEChi	2	1wk	Mature mTEC	1.32378475258839	day2	F10.B002284.2_52.1.32.1_S70	1648249	3571	F10B0022842521321S70	2	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814822	F10-B002284-2_52-1-32-1_S70	1	2	wk1_mouse2
F10.B002294.2_32.4.52.1_S214	7	F10	B002294	10	F	mTEChi	2	4wk	Mature mTEC	0.645402375392241	day2	F10.B002294.2_32.4.52.1_S214	857972	4430	F10B0022942324521S214	2	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3818674	F10-B002294-2_32-4-52-1_S214	4	2	wk4_mouse2
