CellID	ClusterID	Position	PlateID	Column	Row	SortType	SortDay	Age	SubType	sizeFactor	ExportSample	cell_barcode	total_counts_all_features	detected_features_all_features	join_id	Characteristics[individual]	Characteristics[age]	Factor Value[age]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[inferred cell type]	Comment[ENA_RUN]	Assay Name	age_week	individual	biological_mouse_id
B13.B002229.1_52.1.32.1_S109	5	B13	B002229	13	B	mTEClo	1	1wk	Tuft-like mTEC	0.144393131473075	day1	B13.B002229.1_52.1.32.1_S109	329191	1326	B13B0022291521321S109	1	1	1	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Tuft-like.mTEC	ERR3814494	B13-B002229-1_52-1-32-1_S109	1	1	wk1_mouse1
B13.B002297.1_32.4.52.1_S73	2	B13	B002297	13	B	mTEClo	1	4wk	Intertypical TEC	0.813683545967131	day1	B13.B002297.1_32.4.52.1_S73	837271	2849	B13B0022971324521S73	1	4	4	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3818228	B13-B002297-1_32-4-52-1_S73	4	1	wk4_mouse1
B17.B002285.1_4.52.16.1_S65	2	B17	B002285	17	B	mTEClo	1	16wk	Intertypical TEC	2.42994390787012	day1	B17.B002285.1_4.52.16.1_S65	2382304	6010	B17B0022851452161S65	1	16	16	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3819869	B17-B002285-1_4-52-16-1_S65	16	1	wk16_mouse1
B2.B002297.1_32.4.52.1_S62	5	B2	B002297	2	B	mTEClo	1	32wk	Tuft-like mTEC	0.273907437058529	day1	B2.B002297.1_32.4.52.1_S62	445137	1830	B2B0022971324521S62	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Tuft-like.mTEC	ERR3824411	B2-B002297-1_32-4-52-1_S62	32	1	wk32_mouse1
B20.B002297.1_32.4.52.1_S80	2	B20	B002297	20	B	mTEClo	1	52wk	Intertypical TEC	0.584096620744469	day1	B20.B002297.1_32.4.52.1_S80	539688	3213	B20B0022971324521S80	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827558	B20-B002297-1_32-4-52-1_S80	52	1	wk52_mouse1
B22.B002297.1_32.4.52.1_S82	2	B22	B002297	22	B	mTEClo	1	52wk	Intertypical TEC	0.714473811456956	day1	B22.B002297.1_32.4.52.1_S82	751794	2816	B22B0022971324521S82	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827568	B22-B002297-1_32-4-52-1_S82	52	1	wk52_mouse1
B24.B002297.1_32.4.52.1_S242	2	B24	B002297	24	B	mTEClo	1	52wk	Intertypical TEC	3.32551678306744	day1	B24.B002297.1_32.4.52.1_S242	3147324	4893	B24B0022971324521S242	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827580	B24-B002297-1_32-4-52-1_S242	52	1	wk52_mouse1
B5.B002297.1_32.4.52.1_S65	2	B5	B002297	5	B	mTEClo	1	32wk	Intertypical TEC	2.11180702059007	day1	B5.B002297.1_32.4.52.1_S65	2069139	3765	B5B0022971324521S65	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824426	B5-B002297-1_32-4-52-1_S65	32	1	wk32_mouse1
B7.B002297.1_32.4.52.1_S67	2	B7	B002297	7	B	mTEClo	1	32wk	Intertypical TEC	2.12004248980193	day1	B7.B002297.1_32.4.52.1_S67	2167695	3968	B7B0022971324521S67	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824436	B7-B002297-1_32-4-52-1_S67	32	1	wk32_mouse1
B8.B002229.1_52.1.32.1_S104	2	B8	B002229	8	B	mTEClo	1	52wk	Intertypical TEC	2.4556179161351	day1	B8.B002229.1_52.1.32.1_S104	2420906	4484	B8B0022291521321S104	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3825647	B8-B002229-1_52-1-32-1_S104	52	1	wk52_mouse1
C10.B002297.1_32.4.52.1_S94	2	C10	B002297	10	C	mTEClo	1	4wk	Intertypical TEC	0.765557321829677	day1	C10.B002297.1_32.4.52.1_S94	733171	2903	C10B0022971324521S94	1	4	4	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3818342	C10-B002297-1_32-4-52-1_S94	4	1	wk4_mouse1
C14.B002229.1_52.1.32.1_S134	2	C14	B002229	14	C	mTEClo	1	1wk	Intertypical TEC	2.13256496759774	day1	C14.B002229.1_52.1.32.1_S134	1758519	4213	C14B0022291521321S134	1	1	1	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3814583	C14-B002229-1_52-1-32-1_S134	1	1	wk1_mouse1
C15.B002297.1_32.4.52.1_S99	7	C15	B002297	15	C	mTEClo	1	4wk	Mature mTEC	2.96692424277803	day1	C15.B002297.1_32.4.52.1_S99	2328480	7241	C15B0022971324521S99	1	4	4	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Mature.mTEC	ERR3818367	C15-B002297-1_32-4-52-1_S99	4	1	wk4_mouse1
C17.B002229.1_52.1.32.1_S137	2	C17	B002229	17	C	mTEClo	1	32wk	Intertypical TEC	0.656446177528776	day1	C17.B002229.1_52.1.32.1_S137	802898	1748	C17B0022291521321S137	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3823390	C17-B002229-1_52-1-32-1_S137	32	1	wk32_mouse1
C17.B002297.1_32.4.52.1_S101	2	C17	B002297	17	C	mTEClo	1	52wk	Intertypical TEC	0.361590863268383	day1	C17.B002297.1_32.4.52.1_S101	413614	3224	C17B0022971324521S101	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827608	C17-B002297-1_32-4-52-1_S101	52	1	wk52_mouse1
C18.B002229.1_52.1.32.1_S138	2	C18	B002229	18	C	mTEClo	1	32wk	Intertypical TEC	0.751058194510323	day1	C18.B002229.1_52.1.32.1_S138	742857	3559	C18B0022291521321S138	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3823393	C18-B002229-1_52-1-32-1_S138	32	1	wk32_mouse1
C19.B002297.1_32.4.52.1_S103	2	C19	B002297	19	C	mTEClo	1	52wk	Intertypical TEC	0.434118534476925	day1	C19.B002297.1_32.4.52.1_S103	571537	2323	C19B0022971324521S103	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827618	C19-B002297-1_32-4-52-1_S103	52	1	wk52_mouse1
C20.B002297.1_32.4.52.1_S104	2	C20	B002297	20	C	mTEClo	1	52wk	Intertypical TEC	0.386071917613015	day1	C20.B002297.1_32.4.52.1_S104	370234	2496	C20B0022971324521S104	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827625	C20-B002297-1_32-4-52-1_S104	52	1	wk52_mouse1
C21.B002229.1_52.1.32.1_S141	2	C21	B002229	21	C	mTEClo	1	32wk	Intertypical TEC	3.01608587415063	day1	C21.B002229.1_52.1.32.1_S141	3045138	4930	C21B0022291521321S141	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3823414	C21-B002229-1_52-1-32-1_S141	32	1	wk32_mouse1
C21.B002297.1_32.4.52.1_S105	2	C21	B002297	21	C	mTEClo	1	52wk	Intertypical TEC	1.75771259150868	day1	C21.B002297.1_32.4.52.1_S105	1641071	4806	C21B0022971324521S105	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827630	C21-B002297-1_32-4-52-1_S105	52	1	wk52_mouse1
C23.B002229.1_52.1.32.1_S143	3	C23	B002229	23	C	mTEClo	1	32wk	Mature cTEC	4.26817094898294	day1	C23.B002229.1_52.1.32.1_S143	3847369	6967	C23B0022291521321S143	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Mature.cTEC	ERR3823420	C23-B002229-1_52-1-32-1_S143	32	1	wk32_mouse1
C23.B002297.1_32.4.52.1_S107	3	C23	B002297	23	C	mTEClo	1	52wk	Mature cTEC	1.48773197815253	day1	C23.B002297.1_32.4.52.1_S107	1482993	4853	C23B0022971324521S107	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Mature.cTEC	ERR3827640	C23-B002297-1_32-4-52-1_S107	52	1	wk52_mouse1
C24.B002229.1_52.1.32_S213	2	C24	B002229	24	C	mTEClo	1	32wk	Intertypical TEC	1.26691253839248	day1	C24.B002229.1_52.1.32_S213	1329060	6460	C24B002229152132S213	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824480	C24-B002229-1_52-1-32_S213	32	1	wk32_mouse1
C24.B002285.1_4.52.16_S214	2	C24	B002285	24	C	mTEClo	1	16wk	Intertypical TEC	1.36892969702328	day1	C24.B002285.1_4.52.16_S214	1370382	4524	C24B002285145216S214	1	16	16	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3821306	C24-B002285-1_4-52-16_S214	16	1	wk16_mouse1
C24.B002297.1_32.4.52.1_S282	7	C24	B002297	24	C	mTEClo	1	52wk	Mature mTEC	1.41300867543817	day1	C24.B002297.1_32.4.52.1_S282	1414672	6020	C24B0022971324521S282	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Mature.mTEC	ERR3827648	C24-B002297-1_32-4-52-1_S282	52	1	wk52_mouse1
C3.B002229.1_52.1.32.1_S123	2	C3	B002229	3	C	mTEClo	1	52wk	Intertypical TEC	0.571208157018926	day1	C3.B002229.1_52.1.32.1_S123	602056	2472	C3B0022291521321S123	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3825778	C3-B002229-1_52-1-32-1_S123	52	1	wk52_mouse1
D10.B002229.1_52.1.32.1_S154	3	D10	B002229	10	D	mTEClo	1	1wk	Mature cTEC	1.26657371001379	day1	D10.B002229.1_52.1.32.1_S154	1220836	2625	D10B0022291521321S154	1	1	1	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Mature.cTEC	ERR3814651	D10-B002229-1_52-1-32-1_S154	1	1	wk1_mouse1
D11.B002297.1_32.4.52.1_S119	2	D11	B002297	11	D	mTEClo	1	4wk	Intertypical TEC	1.03053415443428	day1	D11.B002297.1_32.4.52.1_S119	1036508	4350	D11B0022971324521S119	1	4	4	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3818443	D11-B002297-1_32-4-52-1_S119	4	1	wk4_mouse1
D13.B002229.1_52.1.32.1_S157	2	D13	B002229	13	D	mTEClo	1	1wk	Intertypical TEC	0.831769520363248	day1	D13.B002229.1_52.1.32.1_S157	898375	3949	D13B0022291521321S157	1	1	1	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3814663	D13-B002229-1_52-1-32-1_S157	1	1	wk1_mouse1
D13.B002287.1_16.32.1.1_S277	1	D13	B002287	13	D	mTEClo	1	32wk	Post-Aire mTEC	0.0943434241125882	day1	D13.B002287.1_16.32.1.1_S277	231152	2154	D13B0022871163211S277	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Post-Aire.mTEC	ERR3823442	D13-B002287-1_16-32-1-1_S277	32	1	wk32_mouse1
D13.B002297.1_32.4.52.1_S121	2	D13	B002297	13	D	mTEClo	1	4wk	Intertypical TEC	0.5522804007238	day1	D13.B002297.1_32.4.52.1_S121	537308	2695	D13B0022971324521S121	1	4	4	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3818453	D13-B002297-1_32-4-52-1_S121	4	1	wk4_mouse1
D16.B002229.1_52.1.32.1_S160	2	D16	B002229	16	D	mTEClo	1	1wk	Intertypical TEC	5.10788663394568	day1	D16.B002229.1_52.1.32.1_S160	4416102	8028	D16B0022291521321S160	1	1	1	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3814675	D16-B002229-1_52-1-32-1_S160	1	1	wk1_mouse1
D17.B002229.1_52.1.32.1_S161	1	D17	B002229	17	D	mTEClo	1	32wk	Post-Aire mTEC	0.0958552197857918	day1	D17.B002229.1_52.1.32.1_S161	151254	1996	D17B0022291521321S161	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Post-Aire.mTEC	ERR3823453	D17-B002229-1_52-1-32-1_S161	32	1	wk32_mouse1
D17.B002297.1_32.4.52.1_S125	2	D17	B002297	17	D	mTEClo	1	52wk	Intertypical TEC	1.66393694417067	day1	D17.B002297.1_32.4.52.1_S125	1653207	5391	D17B0022971324521S125	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827444	D17-B002297-1_32-4-52-1_S125	52	1	wk52_mouse1
D18.B002229.1_52.1.32.1_S162	2	D18	B002229	18	D	mTEClo	1	32wk	Intertypical TEC	2.3685261286108	day1	D18.B002229.1_52.1.32.1_S162	2388221	3650	D18B0022291521321S162	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3823456	D18-B002229-1_52-1-32-1_S162	32	1	wk32_mouse1
D18.B002297.1_32.4.52.1_S126	2	D18	B002297	18	D	mTEClo	1	52wk	Intertypical TEC	0.375735496686162	day1	D18.B002297.1_32.4.52.1_S126	437473	2745	D18B0022971324521S126	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827915	D18-B002297-1_32-4-52-1_S126	52	1	wk52_mouse1
D19.B002285.1_4.52.16.1_S115	3	D19	B002285	19	D	mTEClo	1	16wk	Mature cTEC	4.41440226948796	day1	D19.B002285.1_4.52.16.1_S115	3099705	7765	D19B0022851452161S115	1	16	16	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Mature.cTEC	ERR3820043	D19-B002285-1_4-52-16-1_S115	16	1	wk16_mouse1
D20.B002285.1_4.52.16.1_S116	2	D20	B002285	20	D	mTEClo	1	16wk	Intertypical TEC	0.528163765059664	day1	D20.B002285.1_4.52.16.1_S116	588330	4433	D20B0022851452161S116	1	16	16	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3820050	D20-B002285-1_4-52-16-1_S116	16	1	wk16_mouse1
D20.B002297.1_32.4.52.1_S128	5	D20	B002297	20	D	mTEClo	1	52wk	Tuft-like mTEC	0.0866791642360055	day1	D20.B002297.1_32.4.52.1_S128	179832	1961	D20B0022971324521S128	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Tuft-like.mTEC	ERR3827927	D20-B002297-1_32-4-52-1_S128	52	1	wk52_mouse1
D21.B002297.1_32.4.52.1_S129	2	D21	B002297	21	D	mTEClo	1	52wk	Intertypical TEC	1.08310946507743	day1	D21.B002297.1_32.4.52.1_S129	1167747	4035	D21B0022971324521S129	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827932	D21-B002297-1_32-4-52-1_S129	52	1	wk52_mouse1
D22.B002297.1_32.4.52.1_S130	2	D22	B002297	22	D	mTEClo	1	52wk	Intertypical TEC	0.308710655879682	day1	D22.B002297.1_32.4.52.1_S130	390496	2033	D22B0022971324521S130	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827937	D22-B002297-1_32-4-52-1_S130	52	1	wk52_mouse1
D24.B002229.1_52.1.32_S237	2	D24	B002229	24	D	mTEClo	1	32wk	Intertypical TEC	1.41605219411221	day1	D24.B002229.1_52.1.32_S237	1474803	3718	D24B002229152132S237	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824555	D24-B002229-1_52-1-32_S237	32	1	wk32_mouse1
D3.B002297.1_32.4.52.1_S111	2	D3	B002297	3	D	mTEClo	1	32wk	Intertypical TEC	2.18818160448994	day1	D3.B002297.1_32.4.52.1_S111	2418589	2777	D3B0022971324521S111	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824567	D3-B002297-1_32-4-52-1_S111	32	1	wk32_mouse1
D7.B002297.1_32.4.52.1_S115	2	D7	B002297	7	D	mTEClo	1	32wk	Intertypical TEC	1.4452116908382	day1	D7.B002297.1_32.4.52.1_S115	1187600	2864	D7B0022971324521S115	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824587	D7-B002297-1_32-4-52-1_S115	32	1	wk32_mouse1
E14.B002285.1_4.52.16.1_S134	2	E14	B002285	14	E	mTEClo	1	52wk	Intertypical TEC	0.730956619491011	day1	E14.B002285.1_4.52.16.1_S134	870302	1966	E14B0022851452161S134	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3825865	E14-B002285-1_4-52-16-1_S134	52	1	wk52_mouse1
E17.B002297.1_32.4.52.1_S149	3	E17	B002297	17	E	mTEClo	1	52wk	Mature cTEC	1.75726003074671	day1	E17.B002297.1_32.4.52.1_S149	1666138	4611	E17B0022971324521S149	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Mature.cTEC	ERR3827977	E17-B002297-1_32-4-52-1_S149	52	1	wk52_mouse1
E18.B002297.1_32.4.52.1_S150	2	E18	B002297	18	E	mTEClo	1	52wk	Intertypical TEC	1.37122150094049	day1	E18.B002297.1_32.4.52.1_S150	1298615	4250	E18B0022971324521S150	1	52	52	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3827982	E18-B002297-1_32-4-52-1_S150	52	1	wk52_mouse1
E19.B002229.1_52.1.32.1_S187	7	E19	B002229	19	E	mTEChi	1	32wk	Mature mTEC	1.64110495625882	day1	E19.B002229.1_52.1.32.1_S187	1478141	4304	E19B0022291521321S187	1	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3823512	E19-B002229-1_52-1-32-1_S187	32	1	wk32_mouse1
E20.B002297.1_32.4.52.1_S152	7	E20	B002297	20	E	mTEChi	1	52wk	Mature mTEC	1.02396070337652	day1	E20.B002297.1_32.4.52.1_S152	649582	5028	E20B0022971324521S152	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3827994	E20-B002297-1_32-4-52-1_S152	52	1	wk52_mouse1
E21.B002229.1_52.1.32.1_S189	7	E21	B002229	21	E	mTEChi	1	32wk	Mature mTEC	5.31189045597224	day1	E21.B002229.1_52.1.32.1_S189	6400230	5559	E21B0022291521321S189	1	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3823519	E21-B002229-1_52-1-32-1_S189	32	1	wk32_mouse1
E21.B002297.1_32.4.52.1_S153	7	E21	B002297	21	E	mTEChi	1	52wk	Mature mTEC	2.56419307312946	day1	E21.B002297.1_32.4.52.1_S153	2993605	5838	E21B0022971324521S153	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3827999	E21-B002297-1_32-4-52-1_S153	52	1	wk52_mouse1
E22.B002229.1_52.1.32.1_S190	7	E22	B002229	22	E	mTEChi	1	32wk	Mature mTEC	1.10584148407893	day1	E22.B002229.1_52.1.32.1_S190	1184919	3591	E22B0022291521321S190	1	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3823522	E22-B002229-1_52-1-32-1_S190	32	1	wk32_mouse1
E23.B002229.1_52.1.32.1_S191	7	E23	B002229	23	E	mTEChi	1	32wk	Mature mTEC	4.3406747660068	day1	E23.B002229.1_52.1.32.1_S191	4616529	5407	E23B0022291521321S191	1	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3823525	E23-B002229-1_52-1-32-1_S191	32	1	wk32_mouse1
E24.B002285.1_4.52.16_S262	1	E24	B002285	24	E	mTEChi	1	16wk	Post-Aire mTEC	0.755544605538135	day1	E24.B002285.1_4.52.16_S262	846454	4602	E24B002285145216S262	1	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Post-Aire.mTEC	ERR3821468	E24-B002285-1_4-52-16_S262	16	1	wk16_mouse1
E24.B002297.1_32.4.52.1_S266	1	E24	B002297	24	E	mTEChi	1	52wk	Post-Aire mTEC	1.33312143829191	day1	E24.B002297.1_32.4.52.1_S266	1336645	4599	E24B0022971324521S266	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Post-Aire.mTEC	ERR3828016	E24-B002297-1_32-4-52-1_S266	52	1	wk52_mouse1
E24.B002297.1_32.4.52.1_S30	2	E24	B002297	24	E	mTEChi	1	52wk	Intertypical TEC	2.57248606075027	day1	E24.B002297.1_32.4.52.1_S30	2068346	5460	E24B0022971324521S30	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Intertypical.TEC	ERR3828017	E24-B002297-1_32-4-52-1_S30	52	1	wk52_mouse1
E7.B002297.1_32.4.52.1_S139	2	E7	B002297	7	E	mTEClo	1	32wk	Intertypical TEC	3.06177848318199	day1	E7.B002297.1_32.4.52.1_S139	2987103	5080	E7B0022971324521S139	1	32	32	mTEClo	CD45-EpCAM+Ly51-CD80loMHCIIloDsg3-	Intertypical.TEC	ERR3824663	E7-B002297-1_32-4-52-1_S139	32	1	wk32_mouse1
F10.B002297.1_32.4.52.1_S166	1	F10	B002297	10	F	mTEChi	1	4wk	Post-Aire mTEC	0.393918588958773	day1	F10.B002297.1_32.4.52.1_S166	471006	3551	F10B0022971324521S166	1	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Post-Aire.mTEC	ERR3818675	F10-B002297-1_32-4-52-1_S166	4	1	wk4_mouse1
F13.B002297.1_32.4.52.1_S169	2	F13	B002297	13	F	mTEChi	1	4wk	Intertypical TEC	0.663292783406227	day1	F13.B002297.1_32.4.52.1_S169	706774	3081	F13B0022971324521S169	1	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Intertypical.TEC	ERR3818690	F13-B002297-1_32-4-52-1_S169	4	1	wk4_mouse1
F16.B002297.1_32.4.52.1_S172	7	F16	B002297	16	F	mTEChi	1	4wk	Mature mTEC	1.63111798019802	day1	F16.B002297.1_32.4.52.1_S172	1757959	5298	F16B0022971324521S172	1	4	4	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3818705	F16-B002297-1_32-4-52-1_S172	4	1	wk4_mouse1
F17.B002297.1_32.4.52.1_S173	7	F17	B002297	17	F	mTEChi	1	52wk	Mature mTEC	2.56505235342544	day1	F17.B002297.1_32.4.52.1_S173	2832424	6416	F17B0022971324521S173	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3828044	F17-B002297-1_32-4-52-1_S173	52	1	wk52_mouse1
F18.B002285.1_4.52.16.1_S162	7	F18	B002285	18	F	mTEChi	1	16wk	Mature mTEC	4.128851267227	day1	F18.B002285.1_4.52.16.1_S162	4317865	6788	F18B0022851452161S162	1	16	16	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3820208	F18-B002285-1_4-52-16-1_S162	16	1	wk16_mouse1
F19.B002297.1_32.4.52.1_S175	7	F19	B002297	19	F	mTEChi	1	52wk	Mature mTEC	2.29054025093735	day1	F19.B002297.1_32.4.52.1_S175	2416160	6083	F19B0022971324521S175	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3828054	F19-B002297-1_32-4-52-1_S175	52	1	wk52_mouse1
F2.B002297.1_32.4.52.1_S158	10	F2	B002297	2	F	mTEChi	1	32wk	sTEC	2.5011746830854	day1	F2.B002297.1_32.4.52.1_S158	3168088	2296	F2B0022971324521S158	1	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	eTEC2	ERR3824786	F2-B002297-1_32-4-52-1_S158	32	1	wk32_mouse1
F21.B002297.1_32.4.52.1_S177	7	F21	B002297	21	F	mTEChi	1	52wk	Mature mTEC	0.670342556498278	day1	F21.B002297.1_32.4.52.1_S177	950542	2263	F21B0022971324521S177	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3828066	F21-B002297-1_32-4-52-1_S177	52	1	wk52_mouse1
F23.B002297.1_32.4.52.1_S179	7	F23	B002297	23	F	mTEChi	1	52wk	Mature mTEC	1.69502740056051	day1	F23.B002297.1_32.4.52.1_S179	1771839	5646	F23B0022971324521S179	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3828076	F23-B002297-1_32-4-52-1_S179	52	1	wk52_mouse1
F24.B002297.1_32.4.52.1_S54	2	F24	B002297	24	F	mTEChi	1	52wk	Intertypical TEC	1.18741898522461	day1	F24.B002297.1_32.4.52.1_S54	1215195	4962	F24B0022971324521S54	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Intertypical.TEC	ERR3828083	F24-B002297-1_32-4-52-1_S54	52	1	wk52_mouse1
F4.B002297.1_32.4.52.1_S160	2	F4	B002297	4	F	mTEChi	1	32wk	Intertypical TEC	3.88881347462816	day1	F4.B002297.1_32.4.52.1_S160	3805370	4936	F4B0022971324521S160	1	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Intertypical.TEC	ERR3824796	F4-B002297-1_32-4-52-1_S160	32	1	wk32_mouse1
F6.B002297.1_32.4.52.1_S162	7	F6	B002297	6	F	mTEChi	1	32wk	Mature mTEC	3.98786570482671	day1	F6.B002297.1_32.4.52.1_S162	3737629	5893	F6B0022971324521S162	1	32	32	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3824806	F6-B002297-1_32-4-52-1_S162	32	1	wk32_mouse1
F7.B002229.1_52.1.32.1_S199	7	F7	B002229	7	F	mTEChi	1	52wk	Mature mTEC	1.90760994961574	day1	F7.B002229.1_52.1.32.1_S199	2669801	4798	F7B0022291521321S199	1	52	52	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3825952	F7-B002229-1_52-1-32-1_S199	52	1	wk52_mouse1
G13.B002229.1_52.1.32.1_S229	7	G13	B002229	13	G	mTEChi	1	1wk	Mature mTEC	6.71948449644739	day1	G13.B002229.1_52.1.32.1_S229	6985347	10102	G13B0022291521321S229	1	1	1	mTEChi	CD45-EpCAM+Ly51-CD80hiMHCIIhi	Mature.mTEC	ERR3814912	G13-B002229-1_52-1-32-1_S229	1	1	wk1_mouse1
