sample_id	age_group	downsample_target_depth	n_cells_used	cells_below_target_depth	mean_detection_rate	detection_rate_q025	detection_rate_q975	mean_log2CPM1	log2CPM1_q025	log2CPM1_q975	mean_detection_rate_aged_minus_young	mean_log2CPM1_aged_minus_young	mean_CPM_aged_minus_young	fraction_iterations_all_young_higher_detection_rate	fraction_iterations_all_young_higher_log2CPM1	fraction_iterations_all_young_higher_CPM
mo02_CD45neg1_d0	02mo	5457	300	69	0.049350000000000005	0.03333333333333333	0.06666666666666667	3.4189305609410585	2.9233660204923	3.8249999946858835	-0.046533414351362525	-2.7656386927467973	-9.12311356265946	1.0	1.0	1.0
mo02_CD45neg2_d0	02mo	5457	279	38	0.04994623655913979	0.035842293906810034	0.06810035842293907	3.4150019751201564	2.960278530568613	3.797404779150407	-0.046533414351362525	-2.7656386927467973	-9.12311356265946	1.0	1.0	1.0
mo18_CD45neg1_d0	18mo	5457	288	131	0.0010590277777777777	0.0	0.003472222222222222	0.23883183859067839	0.0	0.7830552084940274	-0.046533414351362525	-2.7656386927467973	-9.12311356265946	1.0	1.0	1.0
mo18_CD45neg2_d0	18mo	5457	763	381	0.005170380078636959	0.002621231979030144	0.007863695937090432	1.0638233119769418	0.6478715493851983	1.433261052592624	-0.046533414351362525	-2.7656386927467973	-9.12311356265946	1.0	1.0	1.0
