gene,n_02mo,n_18mo,U_statistic,pvalue,rank_biserial
Lox,579,1056,297204.5,0.12323385051698596,0.02782847909143249
Loxl1,579,1056,307576.0,0.6354480922372157,-0.006097241848537216
Loxl2,579,1056,330868.0,2.7050693013367666e-17,-0.08228659653530124
Loxl3,579,1056,306840.5,0.4218928180324154,-0.003691382739310134
Loxl4,579,1056,305552.0,0.8915677710206025,0.000523368399016122
