cell_type_subset,gene,present,status,n_pseudobulk_samples,n_02mo,n_18mo,cells_02mo,cells_18mo,baseMean,log2FoldChange,lfcSE,pvalue,padj
3:capsFB,Lox,True,ok,6,3,3,2598,1268,171.7205764931616,-1.461983266265079,0.2916754643602987,5.37656913172565e-07,7.52478034885109e-05
3:capsFB,Loxl1,True,ok,6,3,3,2598,1268,1643.6602178820428,-0.2539896112183952,0.1469059742190009,0.08382227566267,0.4824702101144022
3:capsFB,Loxl2,True,ok,6,3,3,2598,1268,208.0955612130696,0.1467134845580635,0.1867331044900695,0.4320517852653824,0.8661897693973287
3:capsFB,Loxl3,True,ok,6,3,3,2598,1268,114.54520997653624,-0.1843459999455056,0.2158265558186194,0.3930276654916106,0.8480762601501095
3:capsFB,Loxl4,True,ok,6,3,3,2598,1268,4.81750227321727,0.4569331626702036,1.059318678418629,0.6662166101069448,0.9448631146652802
4:intFB,Lox,True,ok,6,3,3,2691,1880,250.7972382097565,-0.625956479206368,0.2195582479982514,0.0043584520216457,0.0716375401347848
4:intFB,Loxl1,True,ok,6,3,3,2691,1880,737.9985219497922,-0.5123242678042881,0.1720414448578851,0.0029021938209416,0.0541318283216391
4:intFB,Loxl2,True,ok,6,3,3,2691,1880,118.5693906434342,-0.5784463994404674,0.247750470768832,0.0195541664878017,0.1898400016846443
4:intFB,Loxl3,True,ok,6,3,3,2691,1880,94.79655468366644,0.210541770945323,0.2664589172886922,0.4294417996670224,0.855435277090965
4:intFB,Loxl4,True,ok,6,3,3,2691,1880,2.922860480692872,-0.5893481356593899,1.2886156420881996,0.6474196239208694,
5:medFB,Lox,True,ok,6,3,3,1841,2881,25.04629396163639,1.101093219618501,0.433859917611064,0.0111519746061231,0.0747288780909326
5:medFB,Loxl1,True,ok,6,3,3,1841,2881,146.28166934248358,0.7505055180833843,0.2450487394031332,0.0021936556343317,0.022557597703736
5:medFB,Loxl2,True,ok,6,3,3,1841,2881,70.12402624040357,-0.9954827176484546,0.2832809543245712,0.0004412166683791,0.0067177089389437
