gene1,gene2,stage,n_cells,spearman_rho,pvalue
Loxl2,Col1a1,all,13238,0.19295196447956978,3.2034305837455883e-111
Loxl2,Vim,all,13238,0.14464896706061708,8.019905145043324e-63
Loxl2,Snai1,all,13238,0.004829902481184094,0.5784416117637068
Lox,Loxl2,02mo,7159,0.057053953361469435,1.36206570981331e-06
Lox,Loxl2,18mo,6079,0.06458169730052464,4.6668198640281393e-07
