cell_type_subset,gene,present,status,n_pseudobulk_samples,n_02mo,n_18mo,cells_02mo,cells_18mo,baseMean,log2FoldChange,lfcSE,pvalue,padj
11:aaTEC2,Lox,True,ok,4,1,3,10,257,13.840278873166834,1.0735265571622967,1.9772084589031609,0.5871638023500646,0.9997613420850405
11:aaTEC2,Loxl1,True,ok,4,1,3,10,257,10.746251851024379,-2.3121470258463592,1.895478118722368,0.22253213632186086,0.9997613420850405
11:aaTEC2,Loxl2,True,ok,4,1,3,10,257,2.0737059406507465,-0.15067377707427806,2.4552444253244285,0.9510660272417277,0.9997613420850405
11:aaTEC2,Loxl3,True,ok,4,1,3,10,257,2.7290615510583955,-1.3880970612132608,2.1491995334539404,0.5183654908777109,0.9997613420850405
11:aaTEC2,Loxl4,True,not_tested_zero_counts,4,1,3,10,257,,,,,
