cell_type_subset,gene,present,status,n_pseudobulk_samples,n_02mo,n_18mo,cells_02mo,cells_18mo,baseMean,log2FoldChange,lfcSE,pvalue,padj
13:mTEC1,Lox,True,ok,4,2,2,579,1053,65.88779784015907,0.7946098112468681,0.37975357297020396,0.0363995867818083,0.13008776965437363
13:mTEC1,Loxl1,True,ok,4,2,2,579,1053,26.98969437661827,0.2601428503247021,0.5508047957219814,0.6367155917731782,0.8118395017644121
13:mTEC1,Loxl2,True,ok,4,2,2,579,1053,16.420571500695427,-3.2911494397505088,0.8376252476109218,8.524910941339315e-05,0.0009563256575355982
13:mTEC1,Loxl3,True,ok,4,2,2,579,1053,3.38778869046636,0.10175284477069459,1.632631543208403,0.9503044669211171,
13:mTEC1,Loxl4,True,ok,4,2,2,579,1053,2.300275413262843,0.7967897534622436,1.834702682522448,0.6640791605220585,
