cell_type_subset,gene,present,status,n_pseudobulk_samples,n_02mo,n_18mo,cells_02mo,cells_18mo,baseMean,log2FoldChange,lfcSE,pvalue,padj
1:capEC,Lox,True,ok,4,3,1,588,490,0.5185671838314977,-2.8271410723916706,5.777304554988025,0.62459183442621,0.9997764860265291
1:capEC,Loxl1,True,ok,4,3,1,588,490,3.2221413241645127,-5.60005146847653,3.853960764656344,0.14620599794728945,0.9997764860265291
1:capEC,Loxl2,True,ok,4,3,1,588,490,2.38444611999922,1.2080618172690116,2.0660834929367766,0.5587420329589984,0.9997764860265291
1:capEC,Loxl3,True,ok,4,3,1,588,490,0.6291511170830749,-0.3524488707171099,4.251867250192057,0.9339368372448204,0.9997764860265291
1:capEC,Loxl4,True,not_tested_zero_counts,4,3,1,588,490,,,,,
