cell_type_subset,gene,present,status,n_pseudobulk_samples,n_02mo,n_18mo,cells_02mo,cells_18mo,baseMean,log2FoldChange,lfcSE,pvalue,padj
0:arEC,Lox,True,ok,4,3,1,205,117,4.4174530667947725,-0.1060411111363069,1.4276222132643759,0.9407890771293224,0.9996518015907346
0:arEC,Loxl1,True,ok,4,3,1,205,117,0.9357210403929952,-3.306236252562489,4.053942582336873,0.4147514341147389,0.9996518015907346
0:arEC,Loxl2,True,ok,4,3,1,205,117,1.4528672150290955,-0.3212957006025501,1.7573809569717933,0.8549342036926232,0.9996518015907346
0:arEC,Loxl3,True,ok,4,3,1,205,117,0.9357210403929952,-3.306236252562489,4.053942582336873,0.4147514341147389,0.9996518015907346
0:arEC,Loxl4,True,not_tested_zero_counts,4,3,1,205,117,,,,,
