gene	cell_type	subtype	comparison	baseMean	log2FoldChange	lfcSE	pvalue	padj	n_young_samples	n_aged_samples
Loxl2	TEC	16:mimetic(basal)	18mo_vs_02mo	0.6261665626413632	1.37081585378069	3.621106101596245	0.705012594174788		2	2
Loxl3	TEC	16:mimetic(basal)	18mo_vs_02mo	0.1202861438904199	0.107665196708694	5.357902630813628	0.9839678651959822		2	2
Loxl4	TEC	16:mimetic(basal)	18mo_vs_02mo						2	2
Lox	TEC	17:mimetic(tuft)	18mo_vs_02mo	0.4854548452486758	0.3563110041944593	4.2389086501869855	0.9330109138483994		2	2
Loxl1	TEC	17:mimetic(tuft)	18mo_vs_02mo	3.029755962617939	-0.8021344286124709	1.6807793899636094	0.6331915388172122		2	2
Loxl2	TEC	17:mimetic(tuft)	18mo_vs_02mo	0.442589939562643	-2.1158549034865066	4.657220790605357	0.6496006317033554		2	2
Loxl3	TEC	17:mimetic(tuft)	18mo_vs_02mo	0.2781773956314919	1.7744668716963232	5.343316423428827	0.739820605555134		2	2
Loxl4	TEC	17:mimetic(tuft)	18mo_vs_02mo						2	2
Lox	TEC	18:mimetic(neuroendo)	18mo_vs_02mo	0.1490125392007478	0.8469250033568729	5.369208806206219	0.8746637334206604		2	2
Loxl1	TEC	18:mimetic(neuroendo)	18mo_vs_02mo	2.43788710555898	-1.8293598808703453	2.063899500912187	0.3754230656419682		2	2
Loxl2	TEC	18:mimetic(neuroendo)	18mo_vs_02mo	1.9889487082049917	-2.308245048403328	2.1770791685251805	0.2890315355718887		2	2
Loxl3	TEC	18:mimetic(neuroendo)	18mo_vs_02mo	0.61033660786574	-0.2489879561682226	3.868078543495174	0.948675670456822		2	2
Loxl4	TEC	18:mimetic(neuroendo)	18mo_vs_02mo						2	2
Lox	TEC	19:mimetic(goblet)	18mo_vs_02mo	7.15884966578998	0.151835774866609	0.9198894205562874	0.8688977600387489		2	2
Loxl1	TEC	19:mimetic(goblet)	18mo_vs_02mo	0.8784964405014527	2.285193786881998	4.787097340780204	0.633102074324685		2	2
Loxl2	TEC	19:mimetic(goblet)	18mo_vs_02mo	0.1254994915002075	-0.5288648993775361	5.349460679679729	0.9212468732724524		2	2
Loxl3	TEC	19:mimetic(goblet)	18mo_vs_02mo						2	2
Loxl4	TEC	19:mimetic(goblet)	18mo_vs_02mo	0.1208960262667293	-0.5560673531923062	5.353113189657944	0.917266661058365		2	2
Lox	TEC	20:mimetic(microfold)	18mo_vs_02mo						2	1
Loxl1	TEC	20:mimetic(microfold)	18mo_vs_02mo	0.4912041998187182	-1.666849575966744	5.565098059802499	0.7645444924971474	0.9997607667239906	2	1
Loxl2	TEC	20:mimetic(microfold)	18mo_vs_02mo	1.6666666666666667	-3.384080640364037	5.847381622315079	0.5627684301239275	0.9997607667239906	2	1
Loxl3	TEC	20:mimetic(microfold)	18mo_vs_02mo	2.5711662041291983	-1.3225253712945173	2.8864419150468827	0.6468192910226239	0.9997607667239906	2	1
Loxl4	TEC	20:mimetic(microfold)	18mo_vs_02mo	0.2456020999093591	-0.7955103498843934	5.5698656988370185	0.8864292032197996	0.9997607667239906	2	1
